,0,1,2,3,4,5,6,7
100200,1051.0,787.0,872.0,701.0,128.0,559.0,729.0,820.0
100269,1051.0,787.0,559.0,872.0,38.0,729.0,819.0,792.0
100521,1051.0,787.0,872.0,701.0,792.0,729.0,559.0,820.0
100972,173.0,1051.0,609.0,519.0,66.0,172.0,9.0,38.0
100998,38.0,609.0,787.0,631.0,1051.0,743.0,393.0,19.0
101049,1051.0,787.0,559.0,701.0,872.0,38.0,820.0,792.0
101170,1051.0,787.0,872.0,559.0,729.0,172.0,128.0,751.0
101263,1051.0,787.0,38.0,559.0,872.0,701.0,792.0,819.0
101318,1051.0,38.0,787.0,609.0,393.0,559.0,631.0,519.0
101579,1051.0,787.0,38.0,559.0,872.0,609.0,792.0,729.0
101721,1051.0,38.0,325.0,19.0,393.0,833.0,559.0,787.0
101743,38.0,609.0,1051.0,66.0,631.0,19.0,743.0,393.0
101799,1051.0,559.0,787.0,166.0,38.0,872.0,193.0,820.0
101818,1051.0,872.0,559.0,787.0,128.0,751.0,495.0,166.0
101889,1051.0,787.0,559.0,872.0,128.0,172.0,701.0,729.0
102206,38.0,1051.0,609.0,631.0,743.0,577.0,19.0,787.0
102226,1051.0,787.0,38.0,559.0,393.0,743.0,833.0,19.0
102355,1051.0,787.0,872.0,559.0,701.0,128.0,729.0,820.0
102665,1051.0,38.0,787.0,609.0,631.0,577.0,559.0,13.0
103266,1051.0,787.0,559.0,872.0,38.0,792.0,701.0,609.0
103561,1051.0,787.0,38.0,559.0,609.0,872.0,701.0,128.0
103573,1051.0,38.0,787.0,609.0,559.0,19.0,743.0,393.0
103636,66.0,519.0,173.0,172.0,393.0,38.0,1051.0,546.0
104273,1051.0,872.0,787.0,128.0,559.0,495.0,729.0,701.0
105111,1051.0,787.0,66.0,559.0,172.0,519.0,393.0,38.0
105148,1051.0,38.0,787.0,609.0,519.0,66.0,393.0,631.0
105370,1051.0,787.0,38.0,559.0,872.0,819.0,820.0,792.0
105520,1051.0,787.0,559.0,872.0,701.0,38.0,393.0,128.0
105938,38.0,609.0,631.0,577.0,393.0,19.0,743.0,833.0
106038,1051.0,787.0,872.0,128.0,701.0,363.0,729.0,792.0
106518,66.0,38.0,519.0,1051.0,173.0,393.0,172.0,609.0
106850,38.0,609.0,173.0,66.0,631.0,519.0,172.0,13.0
106872,1051.0,787.0,38.0,701.0,559.0,872.0,792.0,819.0
106883,1051.0,872.0,787.0,128.0,559.0,729.0,701.0,363.0
106993,1051.0,872.0,787.0,559.0,128.0,701.0,820.0,495.0
107522,66.0,19.0,172.0,743.0,173.0,519.0,1051.0,325.0
107695,1051.0,872.0,787.0,128.0,559.0,495.0,701.0,363.0
107868,1051.0,787.0,38.0,609.0,631.0,559.0,13.0,792.0
108013,1051.0,787.0,872.0,128.0,701.0,559.0,363.0,792.0
108188,38.0,787.0,609.0,1051.0,66.0,393.0,631.0,519.0
108211,38.0,609.0,393.0,743.0,66.0,19.0,519.0,1051.0
108271,1051.0,38.0,787.0,559.0,609.0,701.0,819.0,743.0
108419,1051.0,787.0,872.0,701.0,792.0,363.0,559.0,38.0
108516,1051.0,787.0,559.0,872.0,701.0,128.0,363.0,819.0
108657,559.0,751.0,166.0,743.0,193.0,519.0,609.0,393.0
108838,38.0,609.0,1051.0,787.0,577.0,631.0,559.0,13.0
108987,1051.0,559.0,872.0,787.0,128.0,495.0,820.0,751.0
109086,38.0,743.0,66.0,1051.0,787.0,609.0,19.0,173.0
109135,1051.0,787.0,38.0,559.0,701.0,609.0,792.0,820.0
109289,1051.0,872.0,787.0,128.0,559.0,729.0,701.0,363.0
109335,1051.0,787.0,559.0,701.0,872.0,38.0,820.0,819.0
109384,872.0,1051.0,787.0,128.0,559.0,495.0,841.0,729.0
109441,1051.0,787.0,872.0,559.0,729.0,792.0,701.0,820.0
109655,1051.0,559.0,787.0,743.0,19.0,393.0,325.0,833.0
109763,1051.0,787.0,872.0,729.0,701.0,128.0,792.0,363.0
110038,1051.0,38.0,66.0,519.0,393.0,787.0,172.0,173.0
110039,38.0,1051.0,787.0,609.0,631.0,577.0,559.0,701.0
110077,1051.0,787.0,872.0,701.0,128.0,363.0,729.0,792.0
110246,38.0,1051.0,609.0,787.0,631.0,577.0,559.0,13.0
110296,1051.0,787.0,559.0,820.0,872.0,743.0,751.0,193.0
110343,1051.0,38.0,787.0,559.0,609.0,393.0,743.0,833.0
110386,1051.0,787.0,872.0,559.0,128.0,701.0,729.0,820.0
110525,1051.0,787.0,872.0,559.0,729.0,792.0,820.0,128.0
110601,1051.0,173.0,66.0,519.0,172.0,393.0,9.0,38.0
110988,38.0,609.0,1051.0,66.0,743.0,559.0,393.0,519.0
111399,1051.0,872.0,787.0,729.0,128.0,701.0,792.0,363.0
111527,1051.0,38.0,393.0,519.0,66.0,787.0,173.0,559.0
111714,1051.0,559.0,872.0,787.0,729.0,38.0,792.0,751.0
111737,1051.0,787.0,172.0,559.0,872.0,66.0,173.0,519.0
111751,38.0,1051.0,787.0,609.0,559.0,631.0,743.0,19.0
111869,1051.0,787.0,872.0,559.0,128.0,495.0,701.0,751.0
112139,38.0,609.0,631.0,577.0,13.0,393.0,761.0,48.0
112394,1051.0,787.0,559.0,872.0,128.0,701.0,495.0,172.0
112406,1051.0,38.0,609.0,787.0,66.0,172.0,631.0,519.0
112600,38.0,1051.0,743.0,66.0,19.0,393.0,787.0,833.0
112947,1051.0,519.0,66.0,393.0,172.0,787.0,173.0,559.0
112971,38.0,609.0,787.0,631.0,1051.0,393.0,577.0,743.0
113031,1051.0,787.0,872.0,559.0,701.0,128.0,363.0,792.0
113138,1051.0,787.0,872.0,701.0,559.0,128.0,363.0,792.0
113394,1051.0,38.0,19.0,787.0,609.0,559.0,833.0,743.0
113401,38.0,66.0,173.0,519.0,787.0,172.0,393.0,185.0
113591,38.0,393.0,66.0,519.0,609.0,173.0,19.0,743.0
113673,1051.0,787.0,872.0,701.0,729.0,128.0,792.0,363.0
113679,1051.0,787.0,872.0,701.0,792.0,363.0,559.0,128.0
113769,1051.0,559.0,872.0,787.0,166.0,751.0,841.0,128.0
