,0,1,2,3,4,5,6,7
100200,559.0,1051.0,495.0,872.0,729.0,128.0,680.0,850.0
100269,559.0,1051.0,495.0,193.0,291.0,63.0,467.0,743.0
100521,1051.0,559.0,495.0,872.0,465.0,729.0,128.0,680.0
100972,559.0,519.0,173.0,1051.0,66.0,631.0,19.0,193.0
100998,559.0,743.0,193.0,65.0,291.0,19.0,1051.0,63.0
101049,559.0,1051.0,495.0,193.0,291.0,467.0,63.0,743.0
101170,559.0,1051.0,495.0,193.0,291.0,729.0,152.0,519.0
101263,559.0,1051.0,495.0,193.0,63.0,467.0,291.0,325.0
101318,559.0,1051.0,193.0,291.0,495.0,519.0,743.0,325.0
101579,559.0,1051.0,495.0,193.0,291.0,467.0,729.0,63.0
101721,559.0,1051.0,193.0,65.0,325.0,63.0,291.0,19.0
101743,559.0,65.0,743.0,19.0,193.0,519.0,325.0,1051.0
101799,559.0,1051.0,495.0,193.0,291.0,467.0,63.0,325.0
101818,559.0,1051.0,495.0,193.0,291.0,63.0,743.0,467.0
101889,559.0,1051.0,495.0,193.0,291.0,467.0,519.0,173.0
102206,559.0,1051.0,743.0,193.0,63.0,291.0,65.0,325.0
102226,559.0,193.0,291.0,495.0,1051.0,743.0,467.0,325.0
102355,559.0,1051.0,495.0,193.0,291.0,872.0,467.0,729.0
102665,559.0,1051.0,193.0,495.0,291.0,467.0,631.0,65.0
103266,559.0,1051.0,495.0,193.0,291.0,467.0,729.0,872.0
103561,559.0,1051.0,495.0,193.0,291.0,467.0,465.0,519.0
103573,559.0,1051.0,193.0,743.0,291.0,65.0,325.0,19.0
103636,559.0,519.0,193.0,173.0,66.0,291.0,65.0,19.0
104273,559.0,495.0,1051.0,872.0,128.0,729.0,850.0,467.0
105111,559.0,1051.0,193.0,291.0,495.0,519.0,173.0,467.0
105148,559.0,1051.0,193.0,519.0,495.0,291.0,66.0,631.0
105370,559.0,1051.0,495.0,193.0,63.0,743.0,325.0,65.0
105520,559.0,1051.0,495.0,193.0,291.0,467.0,519.0,743.0
105938,559.0,65.0,193.0,743.0,325.0,19.0,291.0,63.0
