,0,1,2,3,4,5,6,7
100200,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
100269,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
100521,841.0,918.0,735.0,746.0,963.0,938.0,210.0,383.0
100972,746.0,210.0,383.0,967.0,416.0,913.0,599.0,964.0
100998,136.0,192.0,398.0,722.0,162.0,918.0,581.0,556.0
101049,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
101170,573.0,136.0,816.0,192.0,398.0,793.0,326.0,926.0
101263,136.0,192.0,398.0,722.0,162.0,841.0,581.0,556.0
101318,210.0,383.0,967.0,416.0,599.0,964.0,1008.0,458.0
101579,136.0,192.0,398.0,722.0,162.0,918.0,581.0,556.0
101721,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
101743,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
101799,136.0,192.0,398.0,722.0,162.0,841.0,918.0,581.0
101818,136.0,192.0,398.0,722.0,162.0,841.0,581.0,556.0
101889,136.0,192.0,398.0,722.0,162.0,841.0,581.0,556.0
102206,136.0,192.0,398.0,722.0,162.0,918.0,581.0,556.0
102226,136.0,192.0,398.0,722.0,913.0,162.0,841.0,792.0
102355,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
102665,136.0,192.0,398.0,722.0,162.0,918.0,581.0,556.0
103266,136.0,192.0,398.0,722.0,162.0,918.0,581.0,556.0
103561,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
103573,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
103636,136.0,192.0,398.0,722.0,913.0,162.0,599.0,841.0
104273,136.0,192.0,398.0,722.0,162.0,841.0,581.0,556.0
105111,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
105148,136.0,192.0,398.0,722.0,162.0,841.0,581.0,556.0
105370,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
105520,136.0,192.0,398.0,722.0,162.0,581.0,556.0,246.0
