,0,1,2,3,4,5,6,7
100200,780.0,47.0,317.0,909.0,673.0,158.0,455.0,608.0
100269,47.0,16.0,913.0,942.0,928.0,608.0,111.0,930.0
100521,589.0,260.0,47.0,442.0,296.0,541.0,780.0,527.0
100972,173.0,909.0,111.0,922.0,608.0,916.0,912.0,47.0
100998,38.0,111.0,97.0,306.0,924.0,714.0,665.0,509.0
101049,208.0,158.0,317.0,1022.0,76.0,190.0,170.0,169.0
101170,942.0,943.0,928.0,971.0,930.0,587.0,913.0,906.0
101263,1051.0,296.0,111.0,198.0,736.0,150.0,23.0,780.0
101318,1051.0,47.0,922.0,608.0,111.0,909.0,903.0,296.0
101579,16.0,296.0,608.0,111.0,319.0,522.0,750.0,786.0
101721,926.0,111.0,608.0,750.0,198.0,394.0,481.0,509.0
101743,296.0,97.0,515.0,198.0,326.0,150.0,924.0,665.0
101799,317.0,455.0,31.0,185.0,329.0,158.0,836.0,379.0
101818,1051.0,1014.0,455.0,1015.0,158.0,317.0,1013.0,1035.0
101889,919.0,150.0,1028.0,541.0,58.0,913.0,903.0,2.0
102206,903.0,909.0,928.0,942.0,930.0,969.0,926.0,306.0
102226,1051.0,787.0,38.0,559.0,1051.0,787.0,38.0,559.0
102355,527.0,47.0,912.0,904.0,969.0,2.0,590.0,111.0
102665,750.0,924.0,306.0,97.0,214.0,58.0,515.0,45.0
103266,1051.0,111.0,912.0,475.0,922.0,36.0,750.0,913.0
103561,1051.0,47.0,608.0,16.0,527.0,111.0,296.0,319.0
103573,111.0,608.0,296.0,198.0,924.0,306.0,123.0,214.0
103636,154.0,161.0,805.0,760.0,288.0,233.0,349.0,850.0
104273,1051.0,872.0,787.0,128.0,1051.0,872.0,787.0,128.0
105111,750.0,111.0,541.0,515.0,58.0,920.0,214.0,29.0
105148,909.0,898.0,922.0,942.0,926.0,936.0,928.0,913.0
105370,954.0,912.0,111.0,150.0,969.0,590.0,913.0,930.0
105520,1051.0,47.0,922.0,608.0,111.0,296.0,928.0,903.0
105938,45.0,681.0,288.0,766.0,233.0,696.0,841.0,99.0
106038,736.0,394.0,494.0,420.0,2.0,780.0,71.0,160.0
106518,154.0,233.0,436.0,132.0,841.0,958.0,1035.0,670.0
106850,903.0,928.0,930.0,306.0,475.0,916.0,501.0,965.0
106872,47.0,296.0,608.0,111.0,319.0,913.0,922.0,912.0
