,0,1,2,3,4,5,6,7
100200,1051.0,1051.0,1051.0,1051.0,1051.0,780.0,47.0,317.0
100269,47.0,16.0,913.0,942.0,928.0,608.0,111.0,930.0
100521,1051.0,1051.0,1051.0,1051.0,1051.0,589.0,260.0,47.0
100972,173.0,1051.0,609.0,519.0,66.0,172.0,9.0,38.0
100998,38.0,609.0,787.0,631.0,1051.0,743.0,393.0,19.0
101049,1051.0,1051.0,1051.0,1051.0,1051.0,208.0,158.0,317.0
101170,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,942.0
101263,1051.0,787.0,38.0,559.0,872.0,701.0,792.0,819.0
101318,1051.0,38.0,787.0,609.0,393.0,559.0,631.0,519.0
101579,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,16.0
101721,1051.0,38.0,325.0,19.0,1051.0,38.0,325.0,19.0
101743,296.0,97.0,515.0,198.0,326.0,150.0,924.0,665.0
101799,1051.0,559.0,1051.0,559.0,1051.0,559.0,317.0,455.0
101818,1051.0,872.0,559.0,787.0,128.0,751.0,495.0,166.0
101889,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0
102206,38.0,1051.0,38.0,1051.0,38.0,1051.0,903.0,909.0
102226,1051.0,787.0,38.0,559.0,1051.0,787.0,38.0,559.0
102355,1051.0,787.0,1051.0,787.0,1051.0,787.0,1051.0,787.0
102665,750.0,924.0,306.0,97.0,214.0,58.0,515.0,45.0
103266,1051.0,787.0,559.0,872.0,38.0,792.0,701.0,609.0
103561,1051.0,787.0,38.0,559.0,609.0,872.0,701.0,128.0
103573,1051.0,38.0,1051.0,38.0,1051.0,38.0,1051.0,38.0
103636,66.0,519.0,66.0,519.0,66.0,172.0,154.0,161.0
104273,1051.0,872.0,787.0,128.0,1051.0,872.0,787.0,128.0
105111,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,750.0,111.0
105148,1051.0,38.0,787.0,609.0,1051.0,38.0,787.0,609.0
105370,1051.0,1051.0,1051.0,1051.0,1051.0,954.0,912.0,111.0
105520,1051.0,787.0,559.0,872.0,701.0,38.0,393.0,128.0
105938,38.0,609.0,631.0,577.0,38.0,609.0,393.0,19.0
106038,736.0,394.0,494.0,420.0,2.0,780.0,71.0,160.0
106518,66.0,38.0,519.0,1051.0,66.0,38.0,519.0,1051.0
106850,903.0,928.0,930.0,306.0,475.0,916.0,501.0,965.0
106872,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,47.0
106883,1051.0,1051.0,1051.0,1051.0,1051.0,364.0,588.0,919.0
106993,1051.0,872.0,1051.0,872.0,1051.0,872.0,590.0,494.0
107522,66.0,19.0,172.0,173.0,519.0,1051.0,325.0,393.0
107695,1051.0,872.0,787.0,128.0,559.0,495.0,701.0,363.0
107868,1051.0,787.0,38.0,609.0,631.0,559.0,13.0,792.0
108013,1051.0,787.0,1051.0,787.0,1051.0,787.0,1051.0,787.0
108188,38.0,787.0,609.0,1051.0,66.0,393.0,631.0,519.0
108211,38.0,609.0,393.0,743.0,38.0,609.0,393.0,743.0
108271,1051.0,38.0,1051.0,38.0,1051.0,38.0,1051.0,38.0
108419,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0
108516,1051.0,787.0,559.0,872.0,701.0,128.0,363.0,495.0
108657,559.0,743.0,519.0,609.0,559.0,751.0,166.0,820.0
108838,38.0,609.0,38.0,609.0,38.0,609.0,38.0,609.0
108987,1051.0,1051.0,1051.0,1051.0,559.0,1051.0,1051.0,1051.0
109086,38.0,743.0,66.0,1051.0,787.0,609.0,19.0,173.0
109135,1051.0,787.0,38.0,559.0,701.0,609.0,820.0,872.0
109289,1051.0,872.0,787.0,128.0,559.0,729.0,701.0,363.0
109335,1051.0,1051.0,1051.0,1051.0,1051.0,296.0,608.0,541.0
109384,872.0,1051.0,872.0,1051.0,872.0,1051.0,172.0,540.0
109441,1051.0,787.0,1051.0,787.0,1051.0,787.0,736.0,16.0
109655,1051.0,559.0,787.0,743.0,393.0,325.0,833.0,519.0
109763,1051.0,787.0,872.0,729.0,1051.0,787.0,872.0,729.0
110038,1051.0,1051.0,1051.0,1051.0,38.0,1051.0,1051.0,1051.0
110039,38.0,1051.0,38.0,1051.0,38.0,1051.0,111.0,482.0
110077,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,736.0,780.0
110246,38.0,1051.0,609.0,787.0,631.0,577.0,559.0,13.0
110296,1051.0,787.0,559.0,820.0,872.0,743.0,751.0,701.0
110343,1051.0,38.0,787.0,559.0,609.0,393.0,743.0,833.0
110386,1051.0,787.0,1051.0,787.0,1051.0,787.0,1028.0,596.0
110525,1051.0,1051.0,1051.0,1051.0,1051.0,953.0,150.0,145.0
110601,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0
110988,38.0,609.0,1051.0,66.0,743.0,559.0,393.0,519.0
111399,1051.0,872.0,1051.0,872.0,1051.0,872.0,1051.0,872.0
111527,1051.0,1051.0,1051.0,1051.0,1051.0,97.0,481.0,198.0
111714,1051.0,559.0,872.0,787.0,729.0,38.0,792.0,751.0
111737,1051.0,787.0,172.0,559.0,872.0,66.0,173.0,519.0
111751,38.0,38.0,38.0,38.0,38.0,38.0,648.0,780.0
111869,1051.0,787.0,872.0,559.0,1051.0,787.0,872.0,559.0
112139,38.0,609.0,38.0,609.0,38.0,609.0,38.0,609.0
112394,1051.0,787.0,559.0,872.0,1051.0,787.0,559.0,872.0
112406,942.0,111.0,913.0,928.0,903.0,926.0,296.0,541.0
112600,38.0,1051.0,743.0,66.0,19.0,393.0,787.0,519.0
112947,1051.0,519.0,66.0,172.0,1051.0,519.0,66.0,393.0
112971,38.0,609.0,787.0,631.0,38.0,609.0,787.0,631.0
113031,541.0,165.0,599.0,780.0,494.0,47.0,648.0,16.0
113138,1051.0,787.0,872.0,701.0,559.0,128.0,363.0,792.0
