,0,1,2,3,4,5,6,7
100200,559.0,559.0,559.0,1014.0,494.0,780.0,1021.0,539.0
100269,559.0,1051.0,495.0,193.0,47.0,296.0,909.0,919.0
100521,1051.0,559.0,1051.0,559.0,589.0,260.0,500.0,413.0
100972,608.0,111.0,296.0,47.0,36.0,263.0,602.0,123.0
100998,559.0,743.0,65.0,19.0,111.0,509.0,306.0,97.0
101049,838.0,17.0,1022.0,856.0,317.0,649.0,1026.0,208.0
101170,593.0,41.0,539.0,272.0,838.0,608.0,1014.0,527.0
101263,559.0,1051.0,495.0,729.0,296.0,608.0,904.0,111.0
101318,16.0,608.0,111.0,296.0,515.0,535.0,602.0,326.0
101579,16.0,296.0,608.0,111.0,535.0,504.0,522.0,786.0
101721,559.0,1051.0,193.0,65.0,111.0,296.0,920.0,509.0
101743,296.0,515.0,326.0,150.0,97.0,17.0,865.0,750.0
101799,559.0,1051.0,559.0,1051.0,1021.0,317.0,888.0,1015.0
101818,559.0,1051.0,495.0,743.0,1014.0,1015.0,1035.0,1013.0
101889,41.0,608.0,16.0,515.0,150.0,337.0,58.0,36.0
102206,559.0,1051.0,559.0,1051.0,969.0,909.0,515.0,928.0
102226,559.0,193.0,495.0,1051.0,364.0,588.0,1035.0,1014.0
102355,1014.0,47.0,41.0,608.0,36.0,475.0,150.0,296.0
102665,559.0,1051.0,193.0,495.0,296.0,111.0,41.0,922.0
103266,559.0,559.0,559.0,1051.0,296.0,475.0,41.0,36.0
103561,608.0,296.0,47.0,919.0,599.0,111.0,587.0,1014.0
103573,559.0,1051.0,559.0,559.0,608.0,111.0,296.0,326.0
103636,519.0,173.0,559.0,66.0,608.0,296.0,750.0,665.0
104273,559.0,495.0,559.0,495.0,494.0,786.0,349.0,10.0
105111,559.0,559.0,559.0,559.0,515.0,58.0,615.0,541.0
105148,1051.0,519.0,1051.0,193.0,909.0,898.0,936.0,927.0
105370,559.0,559.0,1051.0,559.0,954.0,150.0,111.0,969.0
105520,559.0,1051.0,495.0,519.0,41.0,608.0,47.0,296.0
105938,559.0,65.0,559.0,65.0,1035.0,1014.0,597.0,500.0
106038,736.0,953.0,500.0,1014.0,2.0,780.0,16.0,886.0
106518,519.0,1051.0,519.0,1051.0,509.0,213.0,199.0,1035.0
106850,47.0,903.0,928.0,953.0,306.0,32.0,58.0,940.0
106872,559.0,559.0,559.0,47.0,296.0,608.0,41.0,111.0
106883,559.0,1051.0,559.0,1051.0,1014.0,589.0,500.0,1013.0
