,0,1,2,3,4,5,6,7
100200,1014.0,494.0,780.0,1021.0,539.0,16.0,317.0,886.0
100269,47.0,296.0,909.0,919.0,111.0,942.0,956.0,515.0
100521,589.0,260.0,500.0,413.0,608.0,296.0,47.0,780.0
100972,608.0,111.0,296.0,47.0,36.0,263.0,602.0,123.0
100998,111.0,509.0,306.0,97.0,587.0,924.0,1014.0,856.0
101049,838.0,17.0,1022.0,856.0,317.0,649.0,1026.0,208.0
101170,593.0,41.0,539.0,272.0,838.0,608.0,1014.0,527.0
101263,296.0,608.0,904.0,111.0,913.0,198.0,786.0,942.0
101318,16.0,608.0,111.0,296.0,515.0,535.0,602.0,326.0
101579,16.0,296.0,608.0,111.0,535.0,504.0,522.0,786.0
101721,111.0,296.0,920.0,509.0,199.0,845.0,746.0,1046.0
101743,296.0,515.0,326.0,150.0,97.0,17.0,865.0,750.0
101799,1021.0,317.0,888.0,1015.0,329.0,339.0,158.0,455.0
101818,1014.0,1015.0,1035.0,1013.0,201.0,1021.0,500.0,317.0
101889,41.0,608.0,16.0,515.0,150.0,337.0,58.0,36.0
102206,969.0,909.0,515.0,928.0,942.0,926.0,903.0,971.0
102226,364.0,588.0,1035.0,1014.0,920.0,17.0,539.0,856.0
102355,1014.0,47.0,41.0,608.0,36.0,475.0,150.0,296.0
102665,296.0,111.0,41.0,922.0,928.0,930.0,971.0,926.0
103266,296.0,475.0,41.0,36.0,111.0,165.0,232.0,515.0
103561,608.0,296.0,47.0,919.0,599.0,111.0,587.0,1014.0
103573,608.0,111.0,296.0,326.0,587.0,509.0,214.0,123.0
103636,608.0,296.0,750.0,665.0,856.0,97.0,746.0,649.0
104273,494.0,786.0,349.0,10.0,54.0,798.0,379.0,1026.0
105111,515.0,58.0,615.0,541.0,326.0,1035.0,11.0,17.0
105148,909.0,898.0,936.0,927.0,922.0,942.0,913.0,928.0
105370,954.0,150.0,111.0,969.0,912.0,515.0,590.0,913.0
105520,41.0,608.0,47.0,296.0,1014.0,515.0,111.0,971.0
105938,1035.0,1014.0,597.0,500.0,1022.0,595.0,1013.0,31.0
106038,736.0,953.0,500.0,1014.0,2.0,780.0,16.0,886.0
106518,509.0,213.0,199.0,1035.0,97.0,665.0,856.0,854.0
106850,47.0,903.0,928.0,953.0,306.0,32.0,58.0,940.0
106872,47.0,296.0,608.0,41.0,111.0,780.0,198.0,919.0
106883,1014.0,589.0,500.0,1013.0,1021.0,317.0,736.0,158.0
106993,44.0,673.0,442.0,379.0,886.0,286.0,313.0,856.0
107522,70.0,792.0,717.0,288.0,413.0,819.0,841.0,23.0
107695,1014.0,1015.0,1013.0,709.0,500.0,1030.0,1021.0,313.0
107868,47.0,555.0,296.0,41.0,911.0,36.0,111.0,908.0
108013,145.0,500.0,1014.0,587.0,2.0,754.0,494.0,780.0
108188,481.0,198.0,856.0,649.0,1028.0,496.0,681.0,299.0
108211,150.0,28.0,17.0,213.0,116.0,924.0,920.0,45.0
108271,47.0,16.0,296.0,608.0,111.0,41.0,913.0,780.0
108419,296.0,736.0,886.0,608.0,70.0,442.0,780.0,44.0
108516,608.0,16.0,296.0,47.0,41.0,111.0,838.0,17.0
108657,559.0,743.0,19.0,519.0,559.0,495.0,166.0,751.0
