,0,1,2,3,4,5,6,7
100200,455.0,542.0,569.0,1014.0,688.0,201.0,65.0,229.0
100269,756.0,787.0,619.0,631.0,756.0,787.0,619.0,631.0
100521,969.0,784.0,897.0,588.0,929.0,663.0,930.0,429.0
100972,714.0,924.0,959.0,326.0,509.0,214.0,665.0,307.0
100998,619.0,631.0,756.0,501.0,154.0,841.0,506.0,233.0
101049,326.0,272.0,214.0,659.0,665.0,213.0,615.0,946.0
101170,787.0,787.0,211.0,920.0,17.0,326.0,918.0,1035.0
101263,756.0,787.0,619.0,926.0,97.0,746.0,659.0,307.0
101318,619.0,756.0,787.0,898.0,515.0,959.0,947.0,334.0
101579,515.0,97.0,959.0,786.0,746.0,334.0,288.0,213.0
101721,619.0,710.0,756.0,615.0,154.0,841.0,670.0,982.0
101743,515.0,509.0,307.0,213.0,199.0,1046.0,85.0,997.0
101799,756.0,756.0,1021.0,227.0,575.0,885.0,888.0,15.0
101818,756.0,787.0,559.0,1014.0,711.0,339.0,1021.0,484.0
101889,17.0,97.0,509.0,213.0,261.0,659.0,342.0,1014.0
102206,619.0,38.0,756.0,898.0,307.0,509.0,947.0,199.0
102226,756.0,619.0,787.0,38.0,756.0,787.0,38.0,631.0
102355,534.0,515.0,58.0,920.0,230.0,959.0,326.0,337.0
102665,756.0,619.0,38.0,515.0,959.0,334.0,149.0,288.0
103266,756.0,756.0,326.0,272.0,214.0,665.0,659.0,1046.0
103561,756.0,787.0,619.0,924.0,714.0,214.0,665.0,968.0
103573,619.0,756.0,38.0,307.0,199.0,213.0,615.0,602.0
103636,619.0,619.0,619.0,1000.0,225.0,652.0,99.0,271.0
104273,756.0,787.0,582.0,1014.0,241.0,261.0,17.0,23.0
105111,213.0,17.0,615.0,602.0,116.0,28.0,261.0,645.0
105148,756.0,619.0,9.0,959.0,956.0,534.0,937.0,1012.0
105370,501.0,105.0,841.0,986.0,381.0,207.0,233.0,413.0
105520,756.0,756.0,149.0,288.0,494.0,501.0,882.0,841.0
105938,619.0,38.0,631.0,495.0,128.0,729.0,136.0,99.0
106038,786.0,1020.0,494.0,415.0,168.0,338.0,11.0,534.0
106518,619.0,692.0,631.0,841.0,670.0,233.0,668.0,496.0
106850,943.0,635.0,534.0,150.0,915.0,914.0,805.0,946.0
106872,659.0,920.0,288.0,307.0,1020.0,500.0,735.0,946.0
106883,934.0,595.0,500.0,1017.0,832.0,539.0,1022.0,350.0
106993,882.0,546.0,204.0,212.0,66.0,680.0,437.0,313.0
107522,619.0,833.0,692.0,99.0,717.0,220.0,639.0,327.0
107695,787.0,787.0,239.0,313.0,1021.0,569.0,261.0,575.0
107868,787.0,756.0,619.0,924.0,968.0,746.0,714.0,659.0
108013,1012.0,956.0,534.0,11.0,158.0,515.0,317.0,920.0
108188,619.0,756.0,38.0,233.0,681.0,496.0,680.0,98.0
108211,619.0,38.0,631.0,670.0,668.0,384.0,531.0,1000.0
108271,97.0,229.0,659.0,746.0,149.0,288.0,735.0,213.0
108419,787.0,787.0,898.0,947.0,515.0,227.0,915.0,214.0
108516,756.0,787.0,816.0,97.0,229.0,659.0,149.0,735.0
108657,756.0,619.0,631.0,12.0,756.0,559.0,990.0,787.0
108838,619.0,756.0,38.0,288.0,501.0,154.0,841.0,233.0
108987,756.0,787.0,559.0,569.0,1021.0,239.0,605.0,575.0
109086,619.0,756.0,12.0,229.0,659.0,307.0,746.0,45.0
109135,756.0,787.0,619.0,515.0,959.0,659.0,334.0,149.0
109289,756.0,787.0,582.0,515.0,338.0,936.0,58.0,959.0
109335,161.0,155.0,991.0,760.0,501.0,982.0,997.0,299.0
109384,756.0,756.0,756.0,692.0,9.0,1004.0,463.0,79.0
109441,326.0,515.0,272.0,97.0,229.0,415.0,214.0,256.0
109655,756.0,619.0,710.0,233.0,680.0,681.0,496.0,190.0
109763,787.0,787.0,161.0,913.0,942.0,158.0,836.0,155.0
110038,619.0,756.0,631.0,959.0,920.0,659.0,746.0,213.0
110039,756.0,619.0,38.0,841.0,154.0,501.0,213.0,233.0
110077,787.0,756.0,582.0,364.0,1020.0,500.0,227.0,11.0
110246,756.0,619.0,38.0,23.0,495.0,128.0,548.0,729.0
110296,756.0,787.0,619.0,1030.0,239.0,569.0,1000.0,1021.0
110343,619.0,756.0,38.0,213.0,615.0,602.0,116.0,841.0
110386,787.0,787.0,930.0,515.0,959.0,214.0,531.0,158.0
110525,756.0,756.0,756.0,442.0,920.0,140.0,1017.0,595.0
110601,9.0,619.0,692.0,161.0,991.0,760.0,670.0,982.0
110988,619.0,38.0,756.0,213.0,615.0,602.0,116.0,263.0
111399,787.0,756.0,582.0,504.0,420.0,836.0,455.0,595.0
111527,619.0,756.0,710.0,681.0,233.0,680.0,384.0,1000.0
