,0,1,2,3,4,5,6,7
100200,787.0,756.0,787.0,756.0,787.0,756.0,787.0,756.0
100269,756.0,787.0,619.0,631.0,756.0,787.0,619.0,631.0
100521,787.0,787.0,787.0,787.0,787.0,969.0,784.0,897.0
100972,714.0,924.0,959.0,326.0,509.0,214.0,665.0,307.0
100998,619.0,631.0,756.0,38.0,609.0,710.0,787.0,12.0
101049,756.0,756.0,787.0,756.0,756.0,326.0,272.0,214.0
101170,787.0,756.0,582.0,619.0,787.0,756.0,582.0,619.0
101263,756.0,787.0,619.0,106.0,582.0,631.0,38.0,819.0
101318,619.0,756.0,787.0,38.0,631.0,710.0,609.0,9.0
101579,515.0,97.0,959.0,786.0,746.0,334.0,288.0,213.0
101721,619.0,710.0,756.0,833.0,747.0,12.0,692.0,840.0
101743,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0
101799,756.0,619.0,787.0,710.0,756.0,619.0,787.0,559.0
101818,756.0,787.0,559.0,992.0,816.0,582.0,12.0,166.0
101889,756.0,756.0,756.0,756.0,756.0,756.0,17.0,97.0
102206,619.0,38.0,756.0,631.0,710.0,609.0,577.0,54.0
102226,756.0,619.0,787.0,38.0,756.0,787.0,38.0,631.0
102355,756.0,787.0,756.0,787.0,756.0,787.0,756.0,787.0
102665,756.0,619.0,38.0,631.0,577.0,787.0,54.0,609.0
103266,756.0,787.0,582.0,619.0,756.0,787.0,582.0,619.0
103561,756.0,787.0,619.0,631.0,710.0,106.0,38.0,609.0
103573,619.0,756.0,38.0,631.0,710.0,787.0,54.0,609.0
103636,619.0,631.0,619.0,692.0,619.0,631.0,1000.0,225.0
104273,756.0,787.0,582.0,816.0,559.0,106.0,856.0,807.0
105111,756.0,756.0,756.0,756.0,756.0,756.0,213.0,17.0
105148,756.0,619.0,9.0,787.0,631.0,577.0,54.0,692.0
105370,501.0,105.0,841.0,986.0,381.0,207.0,233.0,413.0
105520,756.0,787.0,619.0,9.0,756.0,787.0,619.0,9.0
105938,619.0,38.0,631.0,54.0,577.0,609.0,274.0,840.0
106038,786.0,1020.0,494.0,415.0,168.0,338.0,11.0,534.0
106518,619.0,692.0,631.0,75.0,54.0,710.0,840.0,38.0
106850,943.0,635.0,534.0,150.0,915.0,914.0,805.0,946.0
106872,756.0,756.0,756.0,756.0,756.0,756.0,659.0,920.0
106883,787.0,756.0,787.0,756.0,787.0,756.0,787.0,756.0
106993,756.0,756.0,756.0,756.0,756.0,756.0,756.0,882.0
107522,619.0,833.0,692.0,631.0,75.0,9.0,54.0,609.0
107695,787.0,756.0,816.0,559.0,787.0,756.0,816.0,559.0
107868,787.0,756.0,619.0,631.0,609.0,38.0,54.0,577.0
108013,787.0,787.0,787.0,787.0,787.0,787.0,787.0,787.0
108188,619.0,756.0,38.0,631.0,787.0,609.0,577.0,54.0
108211,619.0,38.0,631.0,710.0,609.0,54.0,692.0,840.0
108271,756.0,787.0,756.0,787.0,756.0,787.0,756.0,787.0
108419,787.0,756.0,106.0,816.0,787.0,756.0,106.0,816.0
108516,756.0,787.0,816.0,582.0,856.0,9.0,992.0,990.0
108657,756.0,619.0,631.0,12.0,756.0,559.0,990.0,787.0
108838,619.0,756.0,38.0,631.0,577.0,609.0,787.0,54.0
108987,756.0,787.0,559.0,582.0,794.0,816.0,166.0,992.0
109086,619.0,756.0,12.0,710.0,631.0,38.0,692.0,787.0
109135,756.0,787.0,619.0,106.0,9.0,38.0,631.0,816.0
109289,756.0,787.0,582.0,106.0,816.0,856.0,559.0,807.0
109335,161.0,155.0,991.0,760.0,501.0,982.0,997.0,299.0
109384,756.0,787.0,756.0,787.0,756.0,787.0,692.0,9.0
109441,756.0,787.0,756.0,787.0,756.0,787.0,756.0,787.0
109655,756.0,619.0,710.0,12.0,787.0,9.0,692.0,990.0
109763,787.0,756.0,582.0,106.0,787.0,756.0,582.0,106.0
110038,619.0,756.0,631.0,692.0,9.0,710.0,787.0,38.0
110039,756.0,619.0,38.0,787.0,631.0,577.0,54.0,609.0
110077,787.0,756.0,582.0,106.0,816.0,856.0,601.0,701.0
110246,756.0,619.0,38.0,631.0,609.0,54.0,577.0,710.0
110296,756.0,787.0,619.0,559.0,582.0,692.0,992.0,840.0
110343,619.0,756.0,38.0,710.0,631.0,787.0,54.0,12.0
110386,787.0,756.0,582.0,816.0,787.0,756.0,582.0,816.0
110525,756.0,787.0,756.0,787.0,756.0,787.0,442.0,920.0
110601,9.0,619.0,692.0,990.0,710.0,833.0,756.0,747.0
110988,619.0,38.0,756.0,710.0,631.0,609.0,9.0,54.0
111399,787.0,756.0,582.0,106.0,816.0,856.0,601.0,701.0
111527,619.0,756.0,710.0,692.0,9.0,631.0,787.0,833.0
111714,756.0,787.0,582.0,619.0,106.0,559.0,12.0,631.0
111737,787.0,756.0,692.0,559.0,787.0,756.0,692.0,106.0
111751,619.0,756.0,38.0,631.0,710.0,787.0,609.0,54.0
111869,787.0,756.0,559.0,992.0,787.0,756.0,559.0,992.0
112139,38.0,54.0,609.0,619.0,631.0,577.0,274.0,710.0
112394,787.0,756.0,816.0,9.0,106.0,559.0,582.0,992.0
112406,619.0,631.0,38.0,54.0,577.0,787.0,609.0,756.0
112600,619.0,710.0,756.0,12.0,747.0,38.0,692.0,631.0
