,0,1,2,3,4,5,6,7
100200,5262.0,1138.0,7029.0,2854.0,38656.0,26974.0,2362.0,5998.0
100269,437.0,94841.0,9000.0,4926.0,1191.0,32882.0,105254.0,6680.0
100521,881.0,129781.0,26803.0,6596.0,1493.0,2776.0,1112.0,58432.0
100972,6319.0,2042.0,4860.0,6204.0,8864.0,54648.0,6686.0,3861.0
100998,5786.0,73106.0,51632.0,27253.0,50189.0,467.0,61123.0,131389.0
101049,5113.0,5573.0,85399.0,4662.0,52694.0,6036.0,6871.0,4341.0
101170,6332.0,94841.0,127208.0,1144.0,1329.0,6705.0,73270.0,559.0
101263,116985.0,4706.0,385.0,6390.0,6434.0,1138.0,4926.0,26413.0
101318,8922.0,6025.0,93320.0,156903.0,51503.0,8400.0,26695.0,74541.0
101579,38656.0,784.0,27351.0,32211.0,76866.0,58576.0,5228.0,3490.0
101721,68612.0,47793.0,3637.0,46572.0,4671.0,2964.0,8142.0,6091.0
101743,2643.0,144982.0,8869.0,1497.0,6168.0,4982.0,133867.0,67073.0
101799,48791.0,6557.0,7148.0,243.0,467.0,12.0,33815.0,577.0
101818,82684.0,2869.0,1156.0,6091.0,47978.0,91416.0,6049.0,8867.0
101889,2892.0,129781.0,100226.0,6091.0,4244.0,756.0,4926.0,66659.0
102206,5197.0,5362.0,3465.0,31687.0,1138.0,100611.0,5979.0,2039.0
102226,1138.0,26495.0,692.0,4934.0,85992.0,4493.0,286.0,2880.0
102355,50615.0,8013.0,35636.0,3804.0,4418.0,2800.0,88690.0,7990.0
102665,38.0,111320.0,109576.0,54278.0,59014.0,128520.0,1311.0,52279.0
103266,8869.0,4854.0,6557.0,108879.0,74752.0,96405.0,6091.0,32314.0
103561,74532.0,48520.0,101262.0,40581.0,32296.0,5449.0,6686.0,1863.0
103573,68482.0,4317.0,111617.0,6793.0,310.0,40581.0,111320.0,180231.0
103636,6338.0,7204.0,73106.0,101997.0,4222.0,5717.0,6000.0,5189.0
104273,1138.0,100226.0,5327.0,103685.0,74475.0,8681.0,82366.0,129781.0
105111,3465.0,89194.0,4131.0,5979.0,1863.0,8892.0,634.0,6036.0
105148,41014.0,89837.0,27564.0,142386.0,8601.0,3947.0,102991.0,105254.0
105370,110655.0,3869.0,33585.0,5891.0,59604.0,80736.0,794.0,44759.0
105520,7148.0,2039.0,6319.0,4989.0,100226.0,101281.0,5664.0,1021.0
105938,2052.0,91104.0,343.0,3579.0,1551.0,7190.0,82684.0,48791.0
106038,6091.0,1666.0,1156.0,1664.0,129781.0,100226.0,5786.0,66659.0
106518,55250.0,6127.0,99.0,144698.0,8684.0,6234.0,77810.0,25762.0
106850,71318.0,1116.0,43444.0,32452.0,99795.0,1664.0,467.0,4706.0
106872,110348.0,5197.0,7015.0,93980.0,710.0,4989.0,8013.0,4601.0
106883,4074.0,56511.0,66783.0,311.0,1138.0,69988.0,794.0,3569.0
106993,1461.0,100359.0,4099.0,167740.0,619.0,1311.0,56511.0,129707.0
107522,3216.0,55250.0,111617.0,43930.0,6557.0,577.0,4669.0,445.0
107695,38656.0,109452.0,1575.0,26717.0,4146.0,26231.0,807.0,5687.0
107868,3715.0,146.0,2582.0,54648.0,8643.0,2051.0,7375.0,88108.0
108013,4780.0,701.0,26796.0,5078.0,577.0,131.0,5688.0,1555.0
108188,6332.0,129707.0,1661.0,102160.0,112895.0,7362.0,27461.0,554.0
108211,4290.0,8760.0,7280.0,8196.0,2170.0,1138.0,117851.0,6036.0
108271,6332.0,31687.0,5182.0,310.0,133867.0,88468.0,71318.0,131389.0
108419,2039.0,110130.0,151315.0,105075.0,694.0,130578.0,7148.0,1497.0
108516,37477.0,49013.0,1583.0,2038.0,87105.0,87.0,96405.0,60806.0
108657,5953.0,5104.0,61037.0,3579.0,30659.0,5786.0,81949.0,7015.0
108838,5182.0,8869.0,5664.0,133867.0,274.0,60141.0,66304.0,7015.0
108987,5220.0,6036.0,72591.0,445.0,2888.0,108879.0,8869.0,3177.0
109086,7029.0,7039.0,1112.0,8601.0,6434.0,4376.0,32076.0,7035.0
109135,96405.0,88.0,5220.0,4494.0,5900.0,6550.0,2027.0,70641.0
109289,116985.0,1329.0,60.0,49647.0,43838.0,26803.0,82684.0,129781.0
109335,87105.0,77665.0,93980.0,1746.0,1105.0,76301.0,100469.0,96283.0
109384,7976.0,62912.0,1112.0,6091.0,4601.0,1138.0,1664.0,129781.0
109441,76079.0,311.0,5786.0,2894.0,7336.0,160112.0,5891.0,2219.0
109655,2643.0,1551.0,4943.0,3440.0,50003.0,104312.0,1525.0,634.0
109763,1138.0,118338.0,789.0,5028.0,27664.0,3859.0,854.0,117123.0
110038,1771.0,1329.0,5509.0,2209.0,91266.0,1191.0,710.0,72405.0
110039,2894.0,1718.0,726.0,6073.0,6049.0,58287.0,4302.0,115414.0
110077,100226.0,54734.0,100507.0,5664.0,47122.0,69069.0,80858.0,43930.0
110246,92437.0,47978.0,1664.0,43444.0,4601.0,6871.0,61160.0,87.0
110296,6885.0,5891.0,1816.0,4390.0,7636.0,136602.0,639.0,2894.0
110343,2026.0,44187.0,168498.0,67799.0,63458.0,6445.0,133867.0,91266.0
110386,74075.0,104861.0,106062.0,76079.0,1004.0,170399.0,33585.0,50189.0
110525,108879.0,6076.0,27887.0,1070.0,5979.0,110130.0,99030.0,1652.0
110601,73572.0,6687.0,144982.0,8912.0,66.0,4131.0,44238.0,4854.0
110988,5621.0,96691.0,7570.0,6550.0,1689.0,135.0,9.0,4943.0
111399,787.0,1555.0,47904.0,45412.0,26699.0,1369.0,31973.0,50742.0
111527,38656.0,732.0,31133.0,43444.0,3143.0,1533.0,55652.0,50442.0
111714,1138.0,1156.0,129781.0,26974.0,43009.0,1116.0,99795.0,6234.0
111737,5047.0,27351.0,5228.0,8142.0,5891.0,5583.0,4716.0,4288.0
111751,96405.0,110603.0,5664.0,116985.0,5362.0,5969.0,61361.0,63239.0
111869,103813.0,6000.0,160112.0,82684.0,291.0,639.0,5746.0,100083.0
112139,8362.0,4601.0,6324.0,52285.0,8013.0,2039.0,6871.0,754.0
112394,5786.0,129781.0,42007.0,1112.0,101262.0,110828.0,50158.0,91266.0
112406,1858.0,54768.0,117922.0,49013.0,6740.0,577.0,1881.0,3248.0
112600,100306.0,70410.0,65552.0,100581.0,110828.0,26734.0,716.0,5476.0
112947,8912.0,6025.0,100507.0,74752.0,101281.0,76108.0,639.0,89305.0
112971,286.0,90522.0,108879.0,6557.0,6871.0,96405.0,4601.0,5958.0
113031,5786.0,1555.0,4390.0,79251.0,245.0,80572.0,3216.0,2910.0
113138,4601.0,6999.0,101262.0,7015.0,87.0,2091.0,6332.0,38.0
113394,437.0,133867.0,80858.0,88108.0,52285.0,5979.0,105075.0,6208.0
113401,4601.0,2317.0,32296.0,634.0,631.0,39715.0,43836.0,40962.0
113591,634.0,50189.0,61123.0,131389.0,92665.0,2800.0,6871.0,4131.0
113673,120132.0,2170.0,6687.0,114925.0,90524.0,6168.0,100226.0,5573.0
113679,73106.0,80858.0,619.0,609.0,55250.0,4081.0,63393.0,68749.0
113769,106062.0,129781.0,74075.0,467.0,2170.0,70641.0,69438.0,34314.0
113922,6332.0,48791.0,2876.0,32289.0,5958.0,40962.0,44949.0,1592.0
114412,32452.0,1857.0,103813.0,4302.0,8867.0,110603.0,93693.0,70946.0
114454,101281.0,5134.0,3387.0,732.0,725.0,128488.0,100226.0,146.0
114756,93933.0,847.0,2627.0,50909.0,5659.0,43444.0,5970.0,85438.0
114855,88515.0,5580.0,92829.0,7239.0,876.0,3432.0,5228.0,4196.0
114934,74.0,5723.0,7450.0,830.0,78316.0,5299.0,52975.0,59333.0
114952,77665.0,4224.0,8912.0,69873.0,48416.0,2888.0,6687.0,50796.0
115003,82366.0,3804.0,6559.0,77665.0,96283.0,87105.0,96616.0,609.0
115169,153959.0,39715.0,174.0,631.0,4943.0,6208.0,92490.0,78321.0
115551,54734.0,5664.0,7437.0,105075.0,5220.0,78041.0,48416.0,1067.0
115930,65772.0,2876.0,4671.0,3488.0,2646.0,7881.0,1768.0,63239.0
116072,4653.0,5047.0,1427.0,6468.0,7031.0,39408.0,5420.0,1867.0
116123,245.0,1773.0,66279.0,2964.0,7172.0,94931.0,3283.0,102005.0
116352,1555.0,80858.0,631.0,33495.0,5929.0,6319.0,6338.0,710.0
116453,110603.0,8013.0,50802.0,619.0,8643.0,2629.0,93980.0,80858.0
116502,8912.0,100108.0,5786.0,4989.0,7262.0,84696.0,1431.0,1887.0
116669,5047.0,8893.0,5182.0,220.0,5583.0,53352.0,5344.0,102991.0
116680,4074.0,5509.0,787.0,882.0,3465.0,6248.0,1191.0,1105.0
117071,8808.0,3749.0,74075.0,6464.0,6319.0,135885.0,76108.0,101997.0
117154,1138.0,6073.0,3892.0,4716.0,78.0,47904.0,245.0,6388.0
117439,56511.0,3010.0,8867.0,816.0,726.0,6091.0,1138.0,3493.0
117986,2894.0,38.0,27664.0,639.0,4074.0,4706.0,4376.0,91808.0
118007,140162.0,5929.0,43904.0,33085.0,57520.0,1168.0,6557.0,39408.0
118032,74075.0,4141.0,39715.0,47516.0,6154.0,44238.0,50149.0,100498.0
118062,112895.0,245.0,27564.0,77810.0,85790.0,7636.0,116985.0,1666.0
118144,74154.0,45074.0,160569.0,96405.0,4373.0,111617.0,44193.0,6332.0
118322,37477.0,3465.0,5509.0,129781.0,439.0,68324.0,38656.0,1105.0
118350,144982.0,4587.0,5597.0,692.0,1863.0,619.0,4219.0,8013.0
118409,115534.0,33815.0,8013.0,1888.0,4601.0,96405.0,5664.0,80166.0
118415,631.0,2733.0,6319.0,87.0,4854.0,144982.0,4494.0,110655.0
118509,40581.0,4168.0,250.0,2142.0,8814.0,4155.0,4135.0,61250.0
118524,5220.0,4341.0,116985.0,1869.0,101997.0,66659.0,32296.0,26734.0
118726,6388.0,311.0,110130.0,3294.0,116191.0,6550.0,2382.0,101997.0
118774,39715.0,130052.0,103813.0,1105.0,144982.0,1666.0,50189.0,74075.0
118829,5786.0,103813.0,3465.0,51937.0,8861.0,100359.0,6379.0,90522.0
119149,103813.0,311.0,7764.0,82366.0,3630.0,96616.0,3294.0,4601.0
119213,3817.0,26208.0,27564.0,5202.0,756.0,33585.0,80572.0,54196.0
119300,8531.0,100226.0,5762.0,60141.0,6073.0,77810.0,467.0,1664.0
119327,131389.0,102378.0,133798.0,93980.0,101997.0,77414.0,50189.0,5796.0
119330,6036.0,92665.0,6091.0,103808.0,87105.0,73106.0,93980.0,26803.0
119422,81949.0,55261.0,7320.0,50802.0,59333.0,43930.0,38.0,61250.0
119489,5806.0,4302.0,823.0,140162.0,6000.0,787.0,76079.0,7764.0
119756,6332.0,6319.0,5664.0,116985.0,43930.0,2800.0,4219.0,63239.0
119863,89837.0,8959.0,8062.0,142540.0,136602.0,3119.0,103449.0,6641.0
