,0,1,2,3,4,5,6,7
100200,1138.0,48791.0,56511.0,82366.0,60141.0,129781.0,6036.0,100226.0
100269,467.0,4492.0,69438.0,2666.0,833.0,117922.0,63458.0,6036.0
100521,131389.0,8867.0,2894.0,27564.0,245.0,1138.0,756.0,103801.0
100972,4601.0,1550.0,4115.0,27253.0,6550.0,5362.0,4696.0,7119.0
100998,3637.0,6388.0,60141.0,8499.0,33585.0,6463.0,26226.0,8867.0
101049,2170.0,4601.0,2339.0,63.0,101997.0,1550.0,27478.0,2060.0
101170,1138.0,59129.0,730.0,7148.0,2894.0,5786.0,110348.0,8867.0
101263,4601.0,4662.0,129781.0,75816.0,6091.0,27478.0,2894.0,72405.0
101318,53280.0,2041.0,4982.0,99415.0,47516.0,8004.0,104736.0,8835.0
101579,3493.0,467.0,110348.0,2910.0,245.0,6091.0,100226.0,31107.0
101721,397.0,5786.0,439.0,2666.0,6888.0,101997.0,96448.0,6968.0
101743,96405.0,81156.0,31687.0,98836.0,7916.0,4759.0,833.0,4822.0
101799,6434.0,1116.0,77201.0,77596.0,6248.0,1369.0,43444.0,537.0
101818,6559.0,144982.0,3799.0,8447.0,2041.0,3021.0,4494.0,7988.0
101889,110130.0,5228.0,114925.0,1153.0,992.0,6741.0,88237.0,6757.0
102206,4854.0,4989.0,7417.0,103366.0,294.0,1138.0,87105.0,66304.0
102226,88237.0,195.0,31687.0,2039.0,4822.0,3122.0,274.0,146.0
102355,6072.0,2219.0,4302.0,56511.0,6388.0,1138.0,102991.0,69438.0
102665,2234.0,6036.0,82366.0,129781.0,4601.0,99415.0,6888.0,54278.0
103266,1138.0,99795.0,31107.0,94841.0,537.0,4847.0,99030.0,89480.0
103561,1005.0,3773.0,99.0,117922.0,5984.0,5155.0,138202.0,6168.0
103573,62733.0,91266.0,6324.0,101207.0,619.0,51632.0,27253.0,2038.0
103636,129781.0,6168.0,110130.0,6559.0,4494.0,43904.0,82366.0,133867.0
104273,245.0,129781.0,102991.0,166.0,99.0,8196.0,4697.0,5088.0
105111,5426.0,27461.0,4005.0,2219.0,7570.0,7573.0,6076.0,1070.0
105148,49528.0,100359.0,33669.0,118496.0,27253.0,694.0,48791.0,108879.0
105370,5088.0,4494.0,2052.0,2666.0,6434.0,3216.0,110130.0,2041.0
105520,59129.0,108879.0,56511.0,5874.0,96917.0,96283.0,110828.0,44949.0
105938,100226.0,70641.0,93980.0,833.0,105801.0,82366.0,138202.0,69438.0
106038,31107.0,48883.0,102991.0,5153.0,33585.0,8608.0,72405.0,1312.0
106518,96283.0,7148.0,74075.0,2060.0,160112.0,2170.0,82366.0,157.0
106850,4601.0,99030.0,4494.0,66304.0,3122.0,4505.0,87105.0,110130.0
106872,245.0,68612.0,117922.0,5362.0,2038.0,60141.0,2037.0,48791.0
106883,82934.0,2894.0,4288.0,99795.0,2910.0,100581.0,7148.0,4244.0
106993,51632.0,129781.0,730.0,110781.0,93142.0,8867.0,33585.0,68612.0
107522,7148.0,6550.0,6559.0,108879.0,105075.0,6388.0,6434.0,2219.0
107695,94841.0,146.0,6324.0,2037.0,91266.0,99415.0,32314.0,2339.0
107868,463.0,84696.0,6388.0,6434.0,8884.0,82366.0,4696.0,2170.0
108013,76753.0,882.0,5401.0,78321.0,1550.0,8655.0,4662.0,93693.0
108188,1138.0,7008.0,48883.0,2074.0,6107.0,108727.0,3626.0,1369.0
108211,4601.0,27253.0,2039.0,609.0,2037.0,1138.0,631.0,1005.0
108271,31687.0,6388.0,7405.0,110130.0,56511.0,6434.0,100226.0,60141.0
108419,3611.0,56511.0,4601.0,1138.0,82366.0,2219.0,6388.0,108879.0
108516,445.0,833.0,2027.0,63.0,100226.0,108879.0,110130.0,8884.0
108657,2673.0,8583.0,91808.0,82053.0,1058.0,7172.0,8601.0,103801.0
108838,129781.0,3216.0,6036.0,2910.0,82366.0,110348.0,33585.0,68612.0
108987,7168.0,56511.0,99030.0,698.0,6388.0,6000.0,4288.0,2910.0
109086,1138.0,133867.0,4601.0,2964.0,26226.0,3216.0,102991.0,26974.0
109135,100226.0,52694.0,96283.0,6769.0,138202.0,6559.0,2219.0,162478.0
109289,27664.0,88515.0,162322.0,1105.0,4199.0,106785.0,464.0,631.0
109335,8499.0,7148.0,5228.0,5155.0,3493.0,93980.0,6434.0,6168.0
109384,89480.0,2894.0,37955.0,46572.0,38656.0,2910.0,639.0,7024.0
109441,102991.0,1138.0,5760.0,2894.0,8499.0,27564.0,639.0,82366.0
109655,66304.0,77665.0,117922.0,5979.0,32314.0,619.0,3611.0,2052.0
109763,1138.0,6388.0,108879.0,4601.0,2052.0,60141.0,129781.0,100226.0
110038,4716.0,537.0,7637.0,1153.0,8867.0,5228.0,3459.0,5216.0
110039,4601.0,100226.0,66304.0,117922.0,7405.0,129781.0,7148.0,7898.0
110077,4601.0,833.0,6036.0,7148.0,63458.0,93980.0,131389.0,4696.0
110246,13.0,2581.0,6036.0,144982.0,49528.0,63458.0,82366.0,4601.0
110296,4601.0,2964.0,8867.0,7168.0,1329.0,4390.0,27776.0,1153.0
110343,56511.0,1138.0,4696.0,63458.0,6434.0,7148.0,3611.0,66304.0
110386,1138.0,82366.0,2910.0,467.0,2219.0,27564.0,8867.0,3021.0
110525,4696.0,108879.0,5979.0,117922.0,99415.0,833.0,102991.0,2209.0
110601,2674.0,6844.0,2339.0,2041.0,56511.0,84696.0,82053.0,619.0
110988,129781.0,1138.0,96405.0,6876.0,80858.0,105075.0,117922.0,110130.0
111399,7168.0,27513.0,68.0,1116.0,5216.0,6091.0,6388.0,4049.0
111527,6559.0,3611.0,730.0,4759.0,8867.0,639.0,4989.0,110130.0
111714,6388.0,8499.0,6248.0,6434.0,1116.0,2910.0,77833.0,31107.0
111737,6388.0,2052.0,4601.0,2339.0,96405.0,51632.0,60141.0,5979.0
111751,6769.0,1138.0,103449.0,110828.0,4759.0,4989.0,60141.0,5786.0
111869,1138.0,5466.0,4662.0,101296.0,110348.0,5786.0,8499.0,4759.0
112139,129781.0,77810.0,245.0,56511.0,4049.0,38656.0,27564.0,1138.0
112394,88879.0,2400.0,1153.0,96405.0,2219.0,70410.0,46572.0,1138.0
112406,1743.0,4492.0,144982.0,53280.0,2027.0,63.0,6559.0,833.0
112600,46572.0,4924.0,77833.0,38656.0,2862.0,2234.0,3777.0,3938.0
112947,49528.0,94841.0,129781.0,82366.0,56511.0,27564.0,639.0,33585.0
112971,823.0,70201.0,2665.0,6550.0,26985.0,5983.0,5126.0,4982.0
113031,2339.0,82053.0,2234.0,833.0,1550.0,445.0,33585.0,6388.0
113138,55844.0,57.0,99030.0,4601.0,1138.0,100226.0,75816.0,27564.0
113394,117922.0,8499.0,69438.0,38656.0,6248.0,639.0,6036.0,6091.0
113401,8884.0,96917.0,33629.0,7262.0,6049.0,110130.0,74580.0,343.0
113591,144982.0,1138.0,103366.0,7417.0,4822.0,4759.0,112767.0,4989.0
113673,5346.0,100226.0,63.0,33585.0,5891.0,157.0,3493.0,27478.0
113679,26365.0,133867.0,5155.0,6304.0,537.0,87930.0,27513.0,49359.0
113769,129781.0,8655.0,56511.0,730.0,1116.0,2060.0,6091.0,4415.0
113922,4601.0,109740.0,8867.0,91266.0,6434.0,112767.0,467.0,476.0
114412,129781.0,34326.0,3133.0,32882.0,639.0,823.0,56511.0,1164.0
114454,2234.0,5206.0,70410.0,99030.0,27461.0,5883.0,4494.0,96917.0
114756,3010.0,2910.0,43904.0,133867.0,882.0,5346.0,6304.0,397.0
114855,129781.0,4662.0,105126.0,72405.0,4837.0,47566.0,76079.0,27478.0
114934,8013.0,61123.0,250.0,101262.0,61071.0,52975.0,3594.0,118496.0
114952,77665.0,133867.0,1070.0,56511.0,6557.0,108879.0,160112.0,619.0
115003,4288.0,1138.0,6559.0,131389.0,2060.0,100226.0,2170.0,5197.0
115169,6559.0,4418.0,6388.0,3804.0,833.0,99.0,117922.0,5984.0
115551,537.0,5153.0,5346.0,127204.0,6388.0,2910.0,68324.0,103449.0
115930,1116.0,100226.0,56511.0,6293.0,2219.0,3216.0,26226.0,99.0
116072,1138.0,99030.0,1312.0,1329.0,7168.0,5984.0,38656.0,81083.0
116123,56511.0,2673.0,2219.0,4716.0,99795.0,5087.0,33585.0,68.0
116352,3859.0,1664.0,573.0,6248.0,1116.0,99030.0,47978.0,781.0
116453,100498.0,133195.0,67799.0,65552.0,1170.0,40681.0,85056.0,91535.0
116502,6885.0,743.0,4494.0,26152.0,5126.0,245.0,99030.0,5047.0
116669,4837.0,99.0,2800.0,2052.0,27564.0,1857.0,110130.0,2219.0
116680,8867.0,8499.0,101997.0,110348.0,73106.0,63458.0,100226.0,39421.0
117071,882.0,2027.0,726.0,27478.0,8884.0,2339.0,1550.0,102160.0
117154,99030.0,94841.0,5028.0,4872.0,2234.0,6248.0,3626.0,8867.0
117439,4601.0,110781.0,7449.0,34330.0,5312.0,142604.0,8004.0,96917.0
117986,1138.0,68612.0,537.0,6293.0,1116.0,77810.0,3216.0,467.0
118007,53280.0,4494.0,343.0,160112.0,44949.0,77665.0,87105.0,619.0
118032,82366.0,110828.0,743.0,2041.0,162478.0,4662.0,250.0,2052.0
118062,5984.0,99795.0,81083.0,8499.0,38656.0,6091.0,102991.0,26974.0
118144,47978.0,44947.0,5087.0,3859.0,27564.0,32234.0,4049.0,110828.0
118322,129781.0,8013.0,74580.0,2400.0,1550.0,51632.0,4505.0,7417.0
118350,68612.0,7148.0,881.0,66304.0,51632.0,108879.0,110781.0,2038.0
118409,1138.0,3422.0,5216.0,38881.0,1369.0,8571.0,4049.0,4074.0
118415,82366.0,3611.0,100226.0,245.0,7898.0,7148.0,129781.0,7405.0
118509,6388.0,26226.0,6464.0,68612.0,26974.0,5047.0,82684.0,82366.0
118524,7405.0,6434.0,26152.0,8004.0,445.0,7148.0,8884.0,743.0
118726,7637.0,2219.0,6463.0,6091.0,94841.0,2894.0,245.0,99.0
118774,3976.0,2666.0,6388.0,100226.0,2800.0,129781.0,60141.0,69438.0
118829,1138.0,82053.0,82934.0,48879.0,120783.0,6073.0,55946.0,157338.0
119149,26974.0,27513.0,6000.0,4716.0,103449.0,1472.0,5717.0,33585.0
119213,761.0,8844.0,1373.0,7948.0,49902.0,44947.0,3637.0,99030.0
119300,6559.0,639.0,4837.0,1475.0,5786.0,27564.0,2894.0,467.0
119327,1153.0,619.0,7148.0,100226.0,53280.0,6559.0,60141.0,110130.0
119330,48883.0,66304.0,8884.0,148775.0,74580.0,77665.0,7846.0,53280.0
119422,129781.0,26497.0,110130.0,7015.0,195.0,294.0,71542.0,61009.0
119489,33585.0,91335.0,2669.0,639.0,5314.0,6049.0,1116.0,1664.0
119756,1138.0,1750.0,2800.0,100226.0,69438.0,129781.0,4601.0,5781.0
119863,7988.0,5088.0,4759.0,50189.0,3804.0,5786.0,7148.0,26317.0
119904,4601.0,639.0,60141.0,4989.0,4759.0,110828.0,103449.0,112767.0
120005,100226.0,8004.0,110130.0,2800.0,5979.0,4909.0,2666.0,60141.0
120007,99030.0,3216.0,8867.0,82366.0,2219.0,27564.0,33585.0,3493.0
120056,55844.0,105126.0,6463.0,2894.0,26226.0,94841.0,27478.0,2910.0
120174,82366.0,65193.0,54780.0,4662.0,131389.0,91266.0,445.0,44949.0
120360,3242.0,4601.0,5078.0,110130.0,7015.0,195.0,294.0,71542.0
120567,609.0,50189.0,639.0,467.0,82366.0,4759.0,32314.0,100226.0
121108,8867.0,476.0,5760.0,5786.0,110348.0,89305.0,63479.0,96283.0
121220,3493.0,26717.0,31702.0,26974.0,5028.0,5165.0,5263.0,5853.0
121243,7616.0,82366.0,27564.0,8867.0,3021.0,5228.0,6757.0,6304.0
121299,60141.0,100226.0,101281.0,8867.0,743.0,2219.0,129781.0,2170.0
121300,51632.0,5346.0,117922.0,291.0,2862.0,7988.0,74752.0,26974.0
121366,102160.0,6388.0,1138.0,2894.0,7168.0,27513.0,6885.0,2219.0
121401,1550.0,2052.0,7148.0,60141.0,4601.0,4494.0,63458.0,7191.0
121428,5047.0,245.0,1312.0,27664.0,99795.0,31107.0,26226.0,6293.0
