,0,1,2,3,4,5,6,7
100200,134246.0,4884.0,38656.0,6842.0,92904.0,26176.0,5891.0,116839.0
100269,5806.0,77810.0,117368.0,7301.0,1156.0,27664.0,54196.0,43009.0
100521,5806.0,5806.0,5806.0,50189.0,26644.0,2933.0,6599.0,62245.0
100972,96691.0,96691.0,110773.0,43906.0,7375.0,133867.0,128592.0,84374.0
100998,73106.0,5473.0,78313.0,107949.0,6091.0,95199.0,26791.0,8583.0
101049,8911.0,49526.0,59014.0,59935.0,115414.0,43930.0,7169.0,90522.0
101170,5413.0,5413.0,5413.0,77810.0,7976.0,1360.0,787.0,81665.0
101263,1156.0,5806.0,95604.0,5806.0,6075.0,4347.0,79029.0,8608.0
101318,96691.0,80363.0,117368.0,65660.0,3493.0,3216.0,7948.0,8196.0
101579,5806.0,3216.0,77810.0,5569.0,82366.0,6000.0,49359.0,5473.0
101721,5806.0,77810.0,3216.0,26285.0,5351.0,6161.0,38320.0,1768.0
101743,117368.0,54734.0,50189.0,74075.0,73270.0,5687.0,5473.0,5778.0
101799,7142.0,115414.0,26764.0,95932.0,110773.0,4943.0,96691.0,92938.0
101818,39421.0,78264.0,77414.0,39408.0,54648.0,7450.0,59429.0,44399.0
101889,117368.0,44399.0,103810.0,90522.0,55232.0,8869.0,49013.0,85295.0
102206,3691.0,122902.0,55232.0,1862.0,3216.0,128592.0,82366.0,87430.0
102226,5806.0,5806.0,77810.0,5907.0,134246.0,117368.0,138835.0,4825.0
102355,787.0,77414.0,47274.0,5856.0,4271.0,5614.0,4943.0,54734.0
102665,77810.0,5806.0,117368.0,26764.0,31221.0,78467.0,66639.0,1681.0
103266,31221.0,8861.0,27608.0,49359.0,82095.0,39408.0,110773.0,60937.0
103561,117368.0,54734.0,96691.0,26834.0,33158.0,101076.0,82095.0,120799.0
103573,54734.0,117368.0,95932.0,117368.0,39421.0,7375.0,121190.0,95543.0
103636,5413.0,82366.0,5806.0,96691.0,86835.0,122902.0,38656.0,3652.0
104273,1315.0,74696.0,130474.0,6075.0,103685.0,6161.0,60201.0,51167.0
105111,38656.0,1534.0,73270.0,26176.0,4982.0,8727.0,66152.0,116839.0
105148,96691.0,55232.0,134246.0,80363.0,53464.0,95932.0,39408.0,116191.0
