,0,1,2,3,4,5,6,7
100200,6388.0,6388.0,6388.0,2910.0,3493.0,5778.0,4390.0,5346.0
100269,6388.0,3804.0,50189.0,3804.0,7976.0,3626.0,77810.0,3691.0
100521,6388.0,6388.0,6388.0,26009.0,4974.0,559.0,7168.0,3630.0
100972,6388.0,8140.0,7821.0,5806.0,3272.0,3216.0,1464.0,33264.0
100998,5984.0,7168.0,70641.0,77810.0,110348.0,3626.0,7821.0,3493.0
101049,77665.0,7317.0,59022.0,44972.0,95004.0,90522.0,49526.0,8666.0
101170,6388.0,3804.0,50189.0,6388.0,74075.0,43838.0,87430.0,5045.0
101263,50189.0,2894.0,4390.0,110773.0,59022.0,291.0,7976.0,4872.0
101318,6388.0,91660.0,2643.0,2666.0,3190.0,3981.0,71318.0,2665.0
101579,7133.0,3981.0,6037.0,96510.0,167740.0,102880.0,78772.0,91104.0
101721,6388.0,3804.0,50189.0,5806.0,26317.0,5984.0,3272.0,8588.0
101743,6388.0,6388.0,3626.0,291.0,89480.0,128592.0,4974.0,6208.0
101799,38320.0,87430.0,559.0,26317.0,7976.0,3472.0,6000.0,3630.0
101818,6388.0,6388.0,4388.0,2910.0,5717.0,73106.0,5984.0,3691.0
101889,6388.0,6388.0,5088.0,2894.0,6388.0,4872.0,7976.0,5806.0
102206,3691.0,8588.0,3688.0,5413.0,2910.0,49528.0,559.0,6388.0
102226,6388.0,3804.0,50189.0,1312.0,49528.0,6000.0,2894.0,5778.0
102355,6388.0,6388.0,4872.0,5806.0,2862.0,108981.0,5746.0,69134.0
102665,291.0,8666.0,60937.0,102880.0,91974.0,104312.0,26764.0,91660.0
103266,6388.0,6388.0,2894.0,7168.0,4974.0,128592.0,89480.0,70641.0
103561,6388.0,3804.0,50189.0,7317.0,59022.0,74075.0,5717.0,59429.0
103573,6264.0,4942.0,128592.0,33750.0,87876.0,71318.0,54734.0,7239.0
103636,3190.0,4752.0,3847.0,43906.0,92938.0,5160.0,5984.0,33585.0
104273,76866.0,5891.0,39421.0,5160.0,50189.0,3804.0,4847.0,6741.0
105111,6388.0,3804.0,50189.0,6388.0,148172.0,3981.0,8140.0,85056.0
105148,6388.0,8140.0,4872.0,4943.0,96510.0,66789.0,4982.0,68319.0
105370,6388.0,3804.0,50189.0,2665.0,26764.0,34150.0,6264.0,51077.0
105520,6388.0,6388.0,1312.0,26317.0,27564.0,8867.0,6000.0,3691.0
105938,51077.0,59935.0,4402.0,8447.0,43906.0,6208.0,3804.0,6388.0
106038,26231.0,6037.0,1312.0,59429.0,27564.0,77810.0,7168.0,70641.0
106518,6388.0,3804.0,50189.0,76866.0,65660.0,3630.0,62245.0,7948.0
106850,6388.0,6388.0,6388.0,6388.0,4872.0,3630.0,2894.0,3804.0
106872,291.0,3331.0,26317.0,110773.0,4974.0,110828.0,89194.0,59429.0
106883,6388.0,6388.0,50189.0,77810.0,3804.0,47566.0,3670.0,1156.0
106993,6388.0,6388.0,26644.0,71318.0,4982.0,73106.0,39421.0,115414.0
107522,6388.0,3804.0,50189.0,3691.0,5717.0,87430.0,2894.0,59935.0
107695,6388.0,6388.0,5806.0,4974.0,89480.0,2666.0,59429.0,89194.0
107868,6388.0,6388.0,59022.0,77414.0,26764.0,95543.0,62718.0,7317.0
108013,6388.0,3804.0,50189.0,5717.0,7024.0,1483.0,77833.0,27564.0
108188,3464.0,82095.0,51077.0,104312.0,43928.0,5045.0,115414.0,74075.0
108211,8985.0,6564.0,94018.0,60937.0,102880.0,91974.0,104312.0,26764.0
108271,6388.0,3804.0,50189.0,110773.0,2643.0,128592.0,104312.0,8447.0
108419,6208.0,1862.0,2643.0,34150.0,1599.0,53280.0,8985.0,3691.0
108516,6388.0,4872.0,59935.0,95932.0,39421.0,74075.0,3804.0,50189.0
108657,6388.0,4872.0,5717.0,59429.0,74075.0,6036.0,5778.0,4390.0
108838,6036.0,4390.0,47566.0,3216.0,495.0,8608.0,4847.0,3493.0
108987,6388.0,3804.0,50189.0,82934.0,6264.0,95604.0,95932.0,101207.0
109086,6388.0,6388.0,73106.0,77810.0,3626.0,7821.0,3493.0,56511.0
109135,6388.0,6388.0,6388.0,102880.0,93766.0,66789.0,70336.0,8666.0
109289,6388.0,3804.0,3216.0,2643.0,2862.0,6036.0,4847.0,59429.0
109335,6388.0,6388.0,6388.0,4974.0,7168.0,291.0,3630.0,6111.0
