,0,1,2,3,4,5,6,7
100200,2910.0,3493.0,5778.0,4390.0,5346.0,32211.0,110348.0,26644.0
100269,3804.0,7976.0,3626.0,77810.0,3691.0,4390.0,8588.0,7168.0
100521,26009.0,4974.0,559.0,7168.0,3630.0,89480.0,6036.0,7976.0
100972,5806.0,3272.0,3216.0,1464.0,33264.0,26009.0,53464.0,4942.0
100998,5984.0,7168.0,70641.0,77810.0,110348.0,3626.0,7821.0,3493.0
101049,77665.0,7317.0,59022.0,44972.0,95004.0,90522.0,49526.0,8666.0
101170,6388.0,74075.0,43838.0,87430.0,5045.0,4982.0,44243.0,95932.0
101263,50189.0,2894.0,4390.0,110773.0,59022.0,291.0,7976.0,4872.0
101318,6388.0,91660.0,2643.0,2666.0,3190.0,3981.0,71318.0,2665.0
101579,7133.0,3981.0,6037.0,96510.0,167740.0,102880.0,78772.0,91104.0
101721,5806.0,26317.0,5984.0,3272.0,8588.0,6111.0,90929.0,6388.0
101743,3626.0,291.0,89480.0,128592.0,4974.0,6208.0,7168.0,27564.0
101799,38320.0,87430.0,559.0,26317.0,7976.0,3472.0,6000.0,3630.0
101818,4388.0,2910.0,5717.0,73106.0,5984.0,3691.0,26241.0,193.0
101889,5088.0,2894.0,6388.0,4872.0,7976.0,5806.0,89480.0,4847.0
102206,3691.0,8588.0,3688.0,5413.0,2910.0,49528.0,559.0,6388.0
102226,1312.0,49528.0,6000.0,2894.0,5778.0,4872.0,50189.0,3804.0
102355,4872.0,5806.0,2862.0,108981.0,5746.0,69134.0,27564.0,3626.0
102665,291.0,8666.0,60937.0,102880.0,91974.0,104312.0,26764.0,91660.0
103266,2894.0,7168.0,4974.0,128592.0,89480.0,70641.0,4872.0,59429.0
103561,7317.0,59022.0,74075.0,5717.0,59429.0,133867.0,291.0,95932.0
103573,6264.0,4942.0,128592.0,33750.0,87876.0,71318.0,54734.0,7239.0
103636,3190.0,4752.0,3847.0,43906.0,92938.0,5160.0,5984.0,33585.0
104273,76866.0,5891.0,39421.0,5160.0,50189.0,3804.0,4847.0,6741.0
105111,6388.0,148172.0,3981.0,8140.0,85056.0,86835.0,1599.0,93766.0
105148,4943.0,96510.0,66789.0,4982.0,68319.0,3804.0,110809.0,91974.0
105370,2665.0,26764.0,34150.0,6264.0,51077.0,2643.0,43928.0,4982.0
105520,1312.0,26317.0,27564.0,8867.0,6000.0,3691.0,5778.0,4390.0
105938,51077.0,59935.0,4402.0,8447.0,43906.0,6208.0,3804.0,6388.0
106038,26231.0,6037.0,1312.0,59429.0,27564.0,77810.0,7168.0,70641.0
106518,76866.0,65660.0,3630.0,62245.0,7948.0,5659.0,97957.0,50641.0
106850,6388.0,4872.0,3630.0,2894.0,3804.0,50189.0,81751.0,2673.0
106872,291.0,3331.0,26317.0,110773.0,4974.0,110828.0,89194.0,59429.0
106883,50189.0,77810.0,3804.0,47566.0,3670.0,1156.0,1315.0,58876.0
106993,26644.0,71318.0,4982.0,73106.0,39421.0,115414.0,95932.0,7821.0
107522,3691.0,5717.0,87430.0,2894.0,59935.0,122902.0,3626.0,6000.0
107695,5806.0,4974.0,89480.0,2666.0,59429.0,89194.0,70641.0,4872.0
107868,59022.0,77414.0,26764.0,95543.0,62718.0,7317.0,104074.0,110809.0
108013,5717.0,7024.0,1483.0,77833.0,27564.0,6111.0,39421.0,4288.0
108188,3464.0,82095.0,51077.0,104312.0,43928.0,5045.0,115414.0,74075.0
108211,8985.0,6564.0,94018.0,60937.0,102880.0,91974.0,104312.0,26764.0
108271,110773.0,2643.0,128592.0,104312.0,8447.0,77833.0,78467.0,5181.0
108419,6208.0,1862.0,2643.0,34150.0,1599.0,53280.0,8985.0,3691.0
108516,6388.0,4872.0,59935.0,95932.0,39421.0,74075.0,3804.0,50189.0
108657,6388.0,4872.0,5717.0,59429.0,74075.0,6036.0,5778.0,4390.0
108838,6036.0,4390.0,47566.0,3216.0,495.0,8608.0,4847.0,3493.0
108987,82934.0,6264.0,95604.0,95932.0,101207.0,77833.0,39421.0,82095.0
109086,73106.0,77810.0,3626.0,7821.0,3493.0,56511.0,6000.0,3216.0
109135,6388.0,102880.0,93766.0,66789.0,70336.0,8666.0,148172.0,8985.0
109289,2643.0,2862.0,6036.0,4847.0,59429.0,8588.0,5984.0,3216.0
109335,4974.0,7168.0,291.0,3630.0,6111.0,89194.0,4942.0,33585.0
109384,3804.0,59022.0,7976.0,3064.0,559.0,2643.0,1599.0,122902.0
109441,42094.0,26325.0,1315.0,89480.0,108981.0,2673.0,90929.0,6599.0
109655,4942.0,4974.0,6550.0,26764.0,122902.0,6208.0,4388.0,3691.0
109763,43928.0,3804.0,2894.0,6037.0,4942.0,3190.0,50189.0,115414.0
110038,1862.0,6885.0,49528.0,5806.0,101207.0,60137.0,26325.0,1153.0
110039,6037.0,8531.0,115414.0,43906.0,34150.0,73829.0,8004.0,102880.0
110077,78264.0,54734.0,6037.0,6550.0,117368.0,59022.0,89194.0,8531.0
110246,4872.0,47566.0,77810.0,3804.0,5806.0,1315.0,65660.0,90929.0
110296,3630.0,5984.0,7442.0,4847.0,1312.0,2862.0,6885.0,26241.0
110343,44243.0,3691.0,115414.0,59935.0,122902.0,3216.0,1862.0,43906.0
110386,3691.0,1483.0,1360.0,2862.0,6842.0,5717.0,3272.0,7442.0
110525,1312.0,6208.0,291.0,3630.0,6111.0,89194.0,4942.0,33585.0
110601,50189.0,6264.0,82095.0,51077.0,43928.0,2643.0,4982.0,110773.0
110988,90522.0,87876.0,8531.0,4974.0,4388.0,8666.0,59429.0,134246.0
111399,6388.0,25918.0,25898.0,103059.0,74696.0,8608.0,32234.0,65660.0
111527,2910.0,7168.0,5778.0,108727.0,140162.0,33750.0,3272.0,26644.0
111714,6388.0,2894.0,3691.0,39421.0,73106.0,3804.0,50189.0,133867.0
111737,3691.0,95932.0,91660.0,44243.0,128592.0,4942.0,2643.0,82095.0
111751,135567.0,1312.0,87430.0,26764.0,73106.0,92938.0,39421.0,110773.0
111869,6388.0,3630.0,6208.0,5346.0,50189.0,3804.0,2894.0,5891.0
112139,58876.0,3804.0,2666.0,31702.0,161954.0,117368.0,66279.0,33750.0
112394,6388.0,96510.0,50189.0,4872.0,3804.0,5891.0,2448.0,7133.0
112406,6264.0,8588.0,4390.0,3216.0,3630.0,3626.0,74075.0,291.0
112600,50189.0,6388.0,3216.0,49528.0,3626.0,5413.0,291.0,6885.0
112947,87430.0,82095.0,4943.0,43838.0,6208.0,4942.0,3216.0,51077.0
112971,7168.0,5984.0,69134.0,7024.0,108981.0,33585.0,2862.0,1360.0
113031,4388.0,5778.0,2234.0,3493.0,108981.0,128592.0,4847.0,26317.0
113138,1116.0,39421.0,89480.0,73106.0,2894.0,4872.0,50189.0,3804.0
113394,1116.0,5346.0,4390.0,82934.0,7008.0,5717.0,31042.0,3626.0
113401,89194.0,122902.0,43838.0,56511.0,3691.0,8666.0,128592.0,91660.0
113591,103772.0,72407.0,6264.0,31221.0,135567.0,101076.0,96691.0,87520.0
113673,8140.0,1599.0,73829.0,91660.0,6264.0,31221.0,104312.0,4982.0
