,0,1,2,3,4,5,6,7
100200,6388.0,6388.0,95932.0,135141.0,104312.0,134246.0,101895.0,72165.0
100269,6388.0,1138.0,129781.0,157338.0,26048.0,95004.0,120635.0,100108.0
100521,6388.0,1138.0,129781.0,157338.0,53464.0,87430.0,4636.0,92938.0
100972,6388.0,6388.0,127196.0,140162.0,78772.0,72407.0,91104.0,91808.0
100998,158813.0,44972.0,1935.0,1947.0,82169.0,135141.0,920.0,99787.0
101049,6388.0,129781.0,1138.0,82169.0,65685.0,7164.0,91974.0,49528.0
101170,6388.0,1138.0,129781.0,135567.0,577.0,2221.0,94018.0,152063.0
101263,113159.0,94018.0,102880.0,104441.0,104312.0,104074.0,110809.0,135567.0
101318,6388.0,6388.0,87430.0,60937.0,95543.0,8531.0,135141.0,26999.0
101579,6388.0,1138.0,129781.0,4636.0,7573.0,95932.0,82169.0,94018.0
101721,6388.0,129781.0,1138.0,104736.0,102160.0,173161.0,74075.0,65772.0
