,0,1,2,3,4,5,6,7
100200,8666.0,3981.0,87520.0,87430.0,51077.0,53464.0,112370.0,92938.0
100269,95604.0,58876.0,26325.0,2669.0,32234.0,1930.0,3808.0,50151.0
100521,102880.0,122902.0,110553.0,103772.0,68319.0,157338.0,101076.0,7439.0
100972,4974.0,193.0,140162.0,7317.0,39421.0,54734.0,4388.0,6157.0
100998,72378.0,148172.0,112370.0,69526.0,87520.0,102880.0,6264.0,1939.0
101049,93766.0,162414.0,87520.0,69526.0,112370.0,60937.0,6818.0,1937.0
101170,86332.0,122892.0,25918.0,26325.0,113345.0,85131.0,4941.0,135567.0
101263,122902.0,61401.0,53464.0,43928.0,78772.0,8666.0,102880.0,135567.0
101318,53464.0,34150.0,52722.0,1299.0,110553.0,68319.0,51077.0,135536.0
101579,31221.0,51077.0,8985.0,34150.0,7439.0,26764.0,53464.0,92938.0
101721,6264.0,102880.0,92938.0,94018.0,134246.0,64497.0,82095.0,1831.0
101743,68319.0,103810.0,94018.0,34150.0,53464.0,110553.0,31221.0,51077.0
101799,68319.0,110553.0,52722.0,6564.0,103772.0,34150.0,53464.0,60937.0
101818,87430.0,51077.0,72407.0,92938.0,53464.0,26764.0,8666.0,122902.0
101889,8666.0,103233.0,51077.0,104074.0,92938.0,26764.0,82095.0,8985.0
102206,8666.0,43928.0,85056.0,6564.0,96691.0,112370.0,87520.0,80363.0
102226,104312.0,68319.0,34150.0,53464.0,103772.0,87430.0,122902.0,78772.0
102355,95543.0,33750.0,100611.0,26325.0,161954.0,126921.0,32234.0,1464.0
102665,112370.0,87520.0,70336.0,69526.0,101076.0,6157.0,113348.0,6818.0
103266,34150.0,53464.0,51077.0,87430.0,68319.0,31221.0,122902.0,26764.0
103561,102125.0,45499.0,72378.0,1562.0,120799.0,88140.0,6564.0,47152.0
103573,68319.0,162414.0,34150.0,43928.0,80469.0,110553.0,103772.0,122902.0
103636,63992.0,72407.0,78772.0,91104.0,98203.0,110809.0,7317.0,63479.0
