,0,1,2,3,4,5,6,7
100200,103772.0,68319.0,8666.0,4310.0,51077.0,87430.0,34150.0,5507.0
100269,55232.0,8643.0,103772.0,160438.0,6218.0,69406.0,68319.0,69526.0
100521,102880.0,101076.0,122902.0,135137.0,94018.0,8985.0,88140.0,70336.0
100972,8643.0,44193.0,47122.0,91104.0,37386.0,56949.0,84374.0,2581.0
100998,7317.0,72378.0,8861.0,4974.0,6264.0,55232.0,80363.0,39421.0
101049,8861.0,55232.0,80363.0,96691.0,5165.0,7439.0,113345.0,99470.0
101170,111249.0,131796.0,6264.0,8579.0,113345.0,5944.0,6550.0,72378.0
101263,104074.0,111630.0,98203.0,80363.0,110809.0,8985.0,104312.0,107017.0
101318,172.0,53464.0,56775.0,68319.0,5816.0,110553.0,53435.0,51077.0
101579,51077.0,72378.0,8985.0,5943.0,31221.0,31433.0,110553.0,68319.0
101721,108188.0,56775.0,7573.0,82169.0,6564.0,68319.0,34150.0,53464.0
101743,120799.0,101362.0,94018.0,160438.0,86298.0,68319.0,103810.0,53464.0
101799,60937.0,6564.0,95875.0,70336.0,120799.0,93766.0,34150.0,1681.0
101818,78772.0,51077.0,87430.0,72407.0,72378.0,91104.0,98203.0,92938.0
101889,48711.0,160438.0,102880.0,120799.0,110603.0,64497.0,103233.0,141668.0
102206,8985.0,100729.0,69526.0,87520.0,112370.0,7439.0,7454.0,6535.0
102226,103810.0,104312.0,53464.0,110809.0,5507.0,103772.0,72407.0,33158.0
102355,95543.0,87876.0,54648.0,62999.0,104074.0,53435.0,595.0,60514.0
102665,2581.0,39.0,50954.0,126548.0,2888.0,8643.0,44193.0,47122.0
103266,7317.0,108727.0,34150.0,108981.0,53464.0,51077.0,87430.0,4270.0
103561,120799.0,62999.0,5943.0,95875.0,47382.0,77561.0,69526.0,4069.0
103573,26989.0,595.0,5816.0,4638.0,69644.0,4388.0,1022.0,45499.0
103636,7454.0,6934.0,72407.0,78772.0,91104.0,98203.0,8861.0,77561.0
104273,56775.0,160438.0,6887.0,108188.0,3981.0,87520.0,95875.0,94018.0
105111,72407.0,78772.0,91104.0,98203.0,5620.0,4069.0,56949.0,1464.0
105148,110553.0,90522.0,68319.0,34150.0,88140.0,53464.0,103772.0,103810.0
105370,1464.0,3676.0,69134.0,6887.0,6530.0,109848.0,157338.0,30745.0
105520,44972.0,160438.0,3503.0,6550.0,4388.0,3981.0,6818.0,82169.0
105938,8861.0,87520.0,69526.0,54648.0,55232.0,112370.0,80363.0,70336.0
106038,44972.0,3804.0,160438.0,80350.0,59014.0,101997.0,54648.0,4388.0
106518,115973.0,59429.0,50189.0,34150.0,103810.0,2581.0,68319.0,4270.0
106850,45000.0,6091.0,1035.0,2572.0,7317.0,4974.0,40815.0,5816.0
106872,95543.0,8985.0,62999.0,7439.0,34150.0,53464.0,68319.0,87430.0
106883,95932.0,6208.0,4942.0,115414.0,4943.0,44243.0,2666.0,7239.0
106993,3503.0,3415.0,81641.0,127298.0,6041.0,81751.0,115969.0,69134.0
107522,5507.0,33158.0,160438.0,120799.0,108188.0,4388.0,103810.0,36519.0
107695,60514.0,68319.0,56775.0,78105.0,51077.0,82169.0,92938.0,34150.0
107868,3676.0,90738.0,69134.0,161954.0,45062.0,4632.0,30745.0,7024.0
108013,134246.0,8985.0,54648.0,3503.0,31221.0,96691.0,102072.0,90738.0
108188,120799.0,69526.0,53464.0,93326.0,87520.0,82169.0,87430.0,103810.0
108211,94777.0,7024.0,77561.0,69526.0,102125.0,119655.0,78105.0,72378.0
108271,3503.0,25741.0,3415.0,26743.0,33264.0,7301.0,32792.0,127298.0
108419,4310.0,69526.0,87520.0,112370.0,70336.0,72378.0,64497.0,113345.0
108516,69526.0,87520.0,4270.0,34150.0,4974.0,51077.0,112370.0,52722.0
108657,82169.0,104074.0,134246.0,3981.0,4645.0,93766.0,8985.0,152063.0
108838,120799.0,160438.0,4974.0,7317.0,1464.0,95875.0,80860.0,39421.0
108987,56775.0,4700.0,72407.0,2581.0,91104.0,98203.0,8643.0,2888.0
109086,92938.0,31221.0,8985.0,94018.0,95932.0,4636.0,91660.0,43928.0
109135,51077.0,92938.0,110553.0,34150.0,8666.0,68319.0,2081.0,53464.0
109289,56156.0,8666.0,68319.0,51077.0,92938.0,6157.0,34150.0,53464.0
109335,103772.0,95543.0,77561.0,110553.0,68319.0,86298.0,102125.0,34150.0
109384,91104.0,72407.0,160438.0,110809.0,104312.0,135567.0,120799.0,103810.0
109441,80363.0,55232.0,8985.0,148172.0,103772.0,85056.0,92938.0,51077.0
109655,103233.0,3503.0,82169.0,115969.0,4422.0,104736.0,135567.0,1232.0
109763,43930.0,46062.0,8643.0,8666.0,64497.0,3156.0,55232.0,94018.0
110038,46062.0,51412.0,62999.0,96991.0,122924.0,103772.0,53996.0,68319.0
