,0,1,2,3,4,5,6,7
100200,5786.0,1138.0,129781.0,100226.0,4601.0,6388.0,77810.0,61373.0
100269,1138.0,5185.0,1138.0,103808.0,110130.0,96405.0,43838.0,116985.0
100521,1138.0,129781.0,4601.0,58439.0,787.0,52413.0,8980.0,26732.0
100972,1138.0,1138.0,5953.0,6434.0,1743.0,6388.0,756.0,4319.0
100998,1138.0,129781.0,4601.0,116985.0,100226.0,4926.0,6073.0,109425.0
101049,1138.0,1138.0,129781.0,3242.0,756.0,4244.0,6073.0,787.0
101170,1138.0,4601.0,128592.0,76108.0,631.0,117922.0,103813.0,110130.0
101263,1138.0,4601.0,117922.0,6871.0,100226.0,91266.0,48791.0,631.0
101318,100226.0,129781.0,1138.0,58439.0,756.0,6388.0,6073.0,4601.0
101579,1138.0,787.0,3216.0,5327.0,6388.0,3242.0,58439.0,5953.0
101721,1138.0,5185.0,1138.0,56511.0,53280.0,100226.0,129781.0,4601.0
101743,1138.0,129781.0,100226.0,756.0,4601.0,5786.0,77810.0,1743.0
101799,1138.0,8867.0,56511.0,3216.0,129781.0,77810.0,103813.0,33585.0
101818,56511.0,82366.0,1138.0,130578.0,5228.0,5413.0,5583.0,116191.0
101889,129781.0,1138.0,756.0,5786.0,1743.0,100226.0,77810.0,56511.0
102206,1138.0,4601.0,129781.0,1138.0,91266.0,128592.0,116985.0,100226.0
102226,1138.0,4601.0,56511.0,100226.0,129781.0,91266.0,61373.0,116985.0
102355,100226.0,108879.0,103813.0,5143.0,56511.0,439.0,129781.0,58439.0
102665,1138.0,631.0,56511.0,117922.0,609.0,96405.0,5362.0,100226.0
103266,1138.0,6434.0,61373.0,5228.0,8004.0,3216.0,4319.0,129781.0
103561,100226.0,129781.0,100226.0,787.0,1138.0,5786.0,6434.0,1743.0
103573,100226.0,1138.0,4601.0,129781.0,1743.0,100226.0,133867.0,756.0
103636,1138.0,1138.0,61373.0,5953.0,6434.0,6388.0,787.0,1743.0
104273,1138.0,129781.0,116985.0,756.0,103813.0,5786.0,5953.0,4601.0
105111,129781.0,756.0,1138.0,77810.0,3242.0,8867.0,4244.0,100226.0
105148,129781.0,1138.0,61373.0,5953.0,129781.0,787.0,4319.0,109629.0
105370,1138.0,103808.0,117922.0,1138.0,4601.0,93980.0,151315.0,96405.0
105520,5786.0,1138.0,129781.0,77810.0,6073.0,4601.0,82366.0,1743.0
105938,1138.0,129781.0,4601.0,58439.0,756.0,100226.0,116985.0,117922.0
106038,129781.0,100226.0,4601.0,116985.0,110130.0,25899.0,110655.0,4926.0
106518,100226.0,61373.0,3294.0,56511.0,3216.0,5786.0,1138.0,27461.0
106850,6871.0,5185.0,117922.0,1311.0,6871.0,53280.0,156025.0,4601.0
106872,1138.0,1138.0,129781.0,116985.0,100226.0,4601.0,117922.0,93980.0
106883,6388.0,5953.0,5786.0,56511.0,129781.0,109629.0,27461.0,100226.0
106993,1138.0,100226.0,4860.0,113103.0,6871.0,1138.0,4601.0,439.0
107522,1138.0,82366.0,4601.0,5786.0,56511.0,118496.0,91266.0,5953.0
