,0,1,2,3,4,5,6,7
100200,5786.0,1138.0,129781.0,100226.0,4601.0,6388.0,77810.0,61373.0
100269,5185.0,1138.0,103808.0,110130.0,96405.0,43838.0,116985.0,76108.0
100521,1138.0,129781.0,4601.0,58439.0,787.0,52413.0,8980.0,26732.0
100972,1138.0,5953.0,6434.0,1743.0,6388.0,756.0,4319.0,1156.0
100998,1138.0,129781.0,4601.0,116985.0,100226.0,4926.0,6073.0,109425.0
101049,1138.0,129781.0,3242.0,756.0,4244.0,6073.0,787.0,5953.0
101170,4601.0,128592.0,76108.0,631.0,117922.0,103813.0,110130.0,87105.0
101263,4601.0,117922.0,6871.0,100226.0,91266.0,48791.0,631.0,113103.0
101318,129781.0,1138.0,58439.0,756.0,6388.0,6073.0,4601.0,1743.0
101579,1138.0,787.0,3216.0,5327.0,6388.0,3242.0,58439.0,5953.0
101721,5185.0,1138.0,56511.0,53280.0,100226.0,129781.0,4601.0,133867.0
101743,1138.0,129781.0,100226.0,756.0,4601.0,5786.0,77810.0,1743.0
101799,1138.0,8867.0,56511.0,3216.0,129781.0,77810.0,103813.0,33585.0
101818,56511.0,82366.0,1138.0,130578.0,5228.0,5413.0,5583.0,116191.0
101889,129781.0,1138.0,756.0,5786.0,1743.0,100226.0,77810.0,56511.0
102206,4601.0,129781.0,1138.0,91266.0,128592.0,116985.0,100226.0,6036.0
102226,1138.0,4601.0,56511.0,100226.0,129781.0,91266.0,61373.0,116985.0
102355,100226.0,108879.0,103813.0,5143.0,56511.0,439.0,129781.0,58439.0
102665,631.0,56511.0,117922.0,609.0,96405.0,5362.0,100226.0,87105.0
103266,6434.0,61373.0,5228.0,8004.0,3216.0,4319.0,129781.0,5185.0
103561,129781.0,100226.0,787.0,1138.0,5786.0,6434.0,1743.0,6388.0
103573,1138.0,4601.0,129781.0,1743.0,100226.0,133867.0,756.0,6388.0
103636,1138.0,61373.0,5953.0,6434.0,6388.0,787.0,1743.0,56511.0
104273,1138.0,129781.0,116985.0,756.0,103813.0,5786.0,5953.0,4601.0
105111,129781.0,756.0,1138.0,77810.0,3242.0,8867.0,4244.0,100226.0
105148,1138.0,61373.0,5953.0,129781.0,787.0,4319.0,109629.0,4825.0
105370,103808.0,117922.0,1138.0,4601.0,93980.0,151315.0,96405.0,100226.0
105520,5786.0,1138.0,129781.0,77810.0,6073.0,4601.0,82366.0,1743.0
105938,1138.0,129781.0,4601.0,58439.0,756.0,100226.0,116985.0,117922.0
106038,129781.0,100226.0,4601.0,116985.0,110130.0,25899.0,110655.0,4926.0
106518,61373.0,3294.0,56511.0,3216.0,5786.0,1138.0,27461.0,5979.0
106850,5185.0,117922.0,1311.0,6871.0,53280.0,156025.0,4601.0,1168.0
106872,1138.0,129781.0,116985.0,100226.0,4601.0,117922.0,93980.0,77414.0
106883,6388.0,5953.0,5786.0,56511.0,129781.0,109629.0,27461.0,100226.0
106993,100226.0,4860.0,113103.0,6871.0,1138.0,4601.0,439.0,108879.0
107522,1138.0,82366.0,4601.0,5786.0,56511.0,118496.0,91266.0,5953.0
107695,1138.0,100226.0,91266.0,4601.0,129781.0,56511.0,756.0,6073.0
107868,27461.0,4601.0,93980.0,1138.0,100226.0,48791.0,106508.0,32882.0
108013,129781.0,1138.0,756.0,4825.0,787.0,5327.0,5953.0,1743.0
108188,1138.0,56511.0,103813.0,100226.0,129781.0,756.0,4601.0,58439.0
108211,129781.0,4601.0,1138.0,1743.0,5953.0,756.0,116985.0,787.0
108271,100226.0,129781.0,4601.0,1138.0,91266.0,116985.0,756.0,6871.0
108419,129781.0,6388.0,8140.0,4319.0,3122.0,25899.0,5762.0,9000.0
108516,56511.0,103813.0,5185.0,90522.0,151315.0,4860.0,1138.0,93980.0
108657,5786.0,1138.0,8867.0,100226.0,82366.0,77810.0,27564.0,56511.0
108838,129781.0,1138.0,756.0,56511.0,1743.0,6388.0,77810.0,787.0
108987,129781.0,1138.0,56511.0,5953.0,6388.0,8867.0,61373.0,27564.0
109086,1138.0,100226.0,103813.0,4601.0,56511.0,91266.0,82366.0,116985.0
109135,129781.0,61373.0,100226.0,1138.0,5953.0,6434.0,756.0,6388.0
109289,4601.0,1138.0,129781.0,100226.0,6036.0,91266.0,103808.0,100507.0
109335,1138.0,5953.0,6388.0,8980.0,1743.0,26732.0,787.0,7024.0
109384,129781.0,100226.0,4601.0,1138.0,8867.0,56511.0,27564.0,116985.0
109441,1138.0,77810.0,5786.0,27564.0,5953.0,129781.0,6388.0,8867.0
109655,1138.0,1743.0,26732.0,58439.0,1153.0,756.0,3242.0,2219.0
109763,6871.0,110655.0,110130.0,631.0,96405.0,117922.0,1138.0,634.0
110038,6434.0,129781.0,6388.0,5953.0,56511.0,103449.0,58439.0,4926.0
110039,1138.0,129781.0,1743.0,756.0,5786.0,787.0,116985.0,3242.0
110077,100226.0,129781.0,1138.0,116985.0,103813.0,756.0,3242.0,439.0
110246,1138.0,5953.0,129781.0,6388.0,5806.0,787.0,3242.0,1768.0
110296,1138.0,6388.0,5953.0,77810.0,61373.0,1743.0,8867.0,5786.0
110343,1138.0,77810.0,6388.0,27564.0,5953.0,1743.0,6073.0,756.0
110386,1138.0,4601.0,100226.0,129781.0,756.0,116985.0,3242.0,56511.0
110525,1138.0,27461.0,117922.0,76108.0,631.0,128592.0,6871.0,96405.0
110601,1138.0,129781.0,103813.0,56511.0,1743.0,110828.0,6434.0,2219.0
110988,129781.0,787.0,1138.0,5953.0,61373.0,6388.0,3242.0,1743.0
111399,1138.0,129781.0,27461.0,756.0,6073.0,3242.0,4244.0,6091.0
111527,1138.0,129781.0,4376.0,791.0,756.0,6073.0,5223.0,3216.0
111714,129781.0,1138.0,100226.0,5185.0,103813.0,82366.0,61373.0,756.0
111737,1138.0,61373.0,129781.0,100226.0,4860.0,439.0,26732.0,5228.0
111751,1138.0,108879.0,96405.0,100226.0,76108.0,4860.0,93980.0,4601.0
111869,5786.0,56511.0,8867.0,1138.0,3216.0,100226.0,82366.0,3294.0
112139,5786.0,129781.0,5953.0,26732.0,32452.0,100226.0,4319.0,3242.0
112394,1138.0,5786.0,129781.0,77810.0,100226.0,787.0,4601.0,5953.0
112406,117922.0,1311.0,100226.0,76108.0,96405.0,4601.0,5185.0,103808.0
112600,82366.0,56511.0,116191.0,1168.0,106508.0,103813.0,67073.0,6434.0
112947,1138.0,56511.0,129781.0,82366.0,8867.0,4601.0,27461.0,100226.0
112971,1138.0,117922.0,96405.0,27461.0,6871.0,100359.0,76108.0,128592.0
113031,96405.0,1138.0,6871.0,108879.0,151315.0,103813.0,100226.0,58439.0
113138,1138.0,4601.0,100226.0,129781.0,91266.0,56511.0,5786.0,48791.0
113394,129781.0,1138.0,3242.0,787.0,61373.0,1743.0,5223.0,1156.0
113401,1138.0,6434.0,609.0,56511.0,6388.0,116985.0,129781.0,117922.0
113591,100226.0,5786.0,4601.0,129781.0,1138.0,82366.0,103813.0,56511.0
113673,1138.0,77810.0,5786.0,100226.0,129781.0,787.0,6388.0,4601.0
113679,129781.0,5953.0,4825.0,5762.0,100226.0,6073.0,5687.0,1156.0
113769,129781.0,1138.0,5786.0,100226.0,103813.0,56511.0,6036.0,26732.0
113922,129781.0,1138.0,77810.0,756.0,787.0,6388.0,1743.0,4601.0
114412,4601.0,1138.0,100226.0,129781.0,117922.0,91266.0,48791.0,77414.0
114454,61373.0,4601.0,1138.0,4319.0,133867.0,5228.0,3242.0,113103.0
114756,61373.0,1138.0,787.0,129781.0,5953.0,3242.0,1743.0,142540.0
114855,129781.0,4926.0,791.0,756.0,1138.0,116985.0,100226.0,3242.0
114934,129781.0,1138.0,6073.0,68612.0,4601.0,5762.0,1315.0,5223.0
114952,5185.0,100226.0,117922.0,1138.0,96405.0,129781.0,6871.0,5786.0
115003,1138.0,631.0,110130.0,76108.0,87105.0,156025.0,609.0,6871.0
115169,1138.0,129781.0,6091.0,77810.0,27564.0,100226.0,756.0,6073.0
115551,1138.0,129781.0,61373.0,4825.0,1156.0,791.0,4244.0,5953.0
115930,96405.0,4601.0,1138.0,117922.0,109425.0,31687.0,631.0,92490.0
116072,1138.0,129781.0,4601.0,100226.0,1138.0,129781.0,4601.0,100226.0
116123,1138.0,1743.0,61373.0,5953.0,99030.0,27461.0,787.0,100226.0
116352,129781.0,1138.0,5223.0,3242.0,61009.0,1768.0,32452.0,100226.0
116453,1138.0,787.0,129781.0,756.0,1743.0,4825.0,5806.0,5953.0
116502,117922.0,76108.0,6871.0,4601.0,96405.0,110130.0,108879.0,48791.0
116669,1138.0,103813.0,56511.0,100226.0,58439.0,116985.0,3216.0,5143.0
116680,61373.0,5786.0,129781.0,1138.0,1743.0,56511.0,756.0,6434.0
117071,27564.0,1138.0,77810.0,6091.0,82684.0,27664.0,4825.0,5953.0
117154,77810.0,1138.0,27564.0,56511.0,6388.0,5953.0,5786.0,6091.0
117439,1138.0,4601.0,58439.0,787.0,100226.0,129781.0,4926.0,1743.0
117986,129781.0,100226.0,5786.0,56511.0,1138.0,4601.0,77810.0,4926.0
118007,1138.0,6388.0,1743.0,27461.0,129781.0,56511.0,103449.0,4601.0
118032,5185.0,54734.0,4860.0,151315.0,43930.0,2888.0,5363.0,44193.0
118062,5786.0,1138.0,100226.0,129781.0,27564.0,4601.0,77810.0,5953.0
118144,4601.0,91266.0,129781.0,100226.0,1138.0,8911.0,116985.0,100507.0
118322,100226.0,5786.0,129781.0,4601.0,27461.0,4860.0,1138.0,151315.0
118350,1138.0,77810.0,27564.0,787.0,3242.0,4244.0,1743.0,8867.0
118409,5185.0,104312.0,5362.0,1138.0,48791.0,100226.0,116985.0,1168.0
118415,1138.0,5953.0,61373.0,1743.0,6388.0,129781.0,3242.0,756.0
118509,4601.0,1138.0,91266.0,129781.0,103813.0,100226.0,48791.0,58439.0
118524,1138.0,4601.0,56511.0,129781.0,58439.0,100226.0,756.0,26732.0
118726,6871.0,110130.0,87105.0,88468.0,96405.0,53280.0,631.0,5979.0
118774,1138.0,3242.0,4601.0,756.0,129781.0,61373.0,100226.0,4926.0
118829,91266.0,4601.0,6434.0,100226.0,6388.0,92264.0,151315.0,116985.0
119149,100226.0,5185.0,1138.0,56511.0,61373.0,129781.0,103813.0,103449.0
119213,6388.0,7190.0,6434.0,1138.0,25899.0,3122.0,57854.0,6390.0
119300,1138.0,129781.0,4601.0,100226.0,1743.0,58439.0,116985.0,103813.0
119327,1138.0,5786.0,82366.0,100226.0,100359.0,61373.0,116985.0,787.0
119330,56511.0,4601.0,1743.0,1138.0,100226.0,91266.0,4926.0,756.0
119422,1138.0,5786.0,756.0,1743.0,82366.0,791.0,5223.0,5953.0
119489,1138.0,100226.0,116985.0,117922.0,129781.0,4601.0,439.0,56511.0
119756,1138.0,129781.0,3242.0,32452.0,100226.0,4376.0,756.0,857.0
119863,1138.0,100226.0,56511.0,4926.0,129781.0,58439.0,4601.0,103808.0
119904,1138.0,787.0,100226.0,129781.0,4926.0,3242.0,4601.0,5327.0
120005,82366.0,129781.0,56511.0,1138.0,77810.0,5583.0,8867.0,5228.0
120007,4601.0,133867.0,91266.0,6036.0,1138.0,100226.0,129781.0,7148.0
120056,1138.0,1743.0,61373.0,6073.0,4244.0,5228.0,27461.0,77810.0
120174,1138.0,77810.0,27564.0,129781.0,6091.0,8867.0,82684.0,27664.0
120360,4601.0,48791.0,113103.0,631.0,96405.0,6332.0,33499.0,108879.0
120567,5185.0,4601.0,116985.0,91266.0,128592.0,100226.0,6036.0,113103.0
121108,4601.0,1138.0,129781.0,108879.0,117922.0,439.0,100226.0,692.0
121220,1138.0,129781.0,82366.0,77810.0,27564.0,5979.0,61373.0,8867.0
121243,1138.0,4601.0,3216.0,82366.0,61373.0,3242.0,5583.0,100226.0
121299,129781.0,1138.0,6388.0,756.0,4601.0,6434.0,6073.0,3242.0
121300,4601.0,100226.0,6871.0,96405.0,8847.0,76108.0,108879.0,91266.0
121366,56511.0,4601.0,5786.0,100226.0,116985.0,5143.0,129781.0,756.0
121401,117922.0,4601.0,100226.0,103813.0,109425.0,1138.0,91266.0,91335.0
121428,1138.0,103813.0,756.0,58439.0,6871.0,1743.0,117922.0,3242.0
121459,1138.0,56511.0,61373.0,4926.0,5786.0,5228.0,756.0,4319.0
