,0,1,2,3,4,5,6,7
100200,5806.0,77810.0,117368.0,1315.0,787.0,6091.0,3242.0,3216.0
100269,5806.0,5806.0,787.0,1768.0,5953.0,1156.0,8140.0,26644.0
100521,77810.0,117368.0,3216.0,77414.0,121190.0,26791.0,126921.0,787.0
100972,1156.0,5806.0,5953.0,787.0,60137.0,6075.0,95604.0,5687.0
100998,787.0,109425.0,5806.0,1156.0,3216.0,1315.0,117368.0,126921.0
101049,26791.0,50189.0,77810.0,43838.0,74075.0,5943.0,31433.0,84374.0
101170,82366.0,3216.0,106508.0,5717.0,141668.0,3026.0,5189.0,5413.0
101263,1156.0,77810.0,1315.0,6073.0,8867.0,1156.0,27564.0,130474.0
101318,96691.0,5806.0,26644.0,1768.0,1315.0,49359.0,787.0,5687.0
101579,5806.0,787.0,5806.0,3216.0,60137.0,1768.0,5907.0,2632.0
101721,5806.0,77810.0,6073.0,8867.0,5891.0,787.0,7024.0,68612.0
101743,117368.0,77810.0,8867.0,1315.0,27564.0,6073.0,33585.0,1156.0
101799,3216.0,82366.0,5413.0,5717.0,5160.0,8867.0,77810.0,5778.0
101818,50189.0,116191.0,3216.0,82366.0,93142.0,103813.0,3804.0,8196.0
101889,787.0,6091.0,1156.0,77810.0,5806.0,52285.0,8867.0,3242.0
102206,133867.0,3216.0,6111.0,8583.0,100507.0,128592.0,82366.0,3804.0
102226,8140.0,8867.0,3216.0,6073.0,787.0,130474.0,77810.0,6091.0
102355,6923.0,8987.0,26791.0,787.0,25899.0,5953.0,129781.0,3242.0
102665,77810.0,4943.0,117368.0,4982.0,52285.0,39408.0,110773.0,4942.0
103266,26791.0,3242.0,6111.0,141668.0,52285.0,787.0,1315.0,8583.0
103561,117368.0,95604.0,5953.0,1156.0,8140.0,42681.0,787.0,6147.0
103573,54734.0,133867.0,89194.0,60137.0,95604.0,82366.0,130474.0,106508.0
103636,5413.0,5806.0,61373.0,787.0,95604.0,82934.0,60137.0,8140.0
104273,77810.0,1315.0,6073.0,8867.0,1156.0,82366.0,3216.0,3493.0
105111,787.0,117368.0,53280.0,5979.0,82366.0,110655.0,3242.0,116191.0
105148,116191.0,53280.0,77810.0,99721.0,91104.0,106508.0,3493.0,82366.0
105370,5806.0,96691.0,110773.0,44243.0,100729.0,80363.0,6208.0,95932.0
105520,128592.0,77810.0,1315.0,103813.0,8867.0,6111.0,68612.0,6091.0
105938,128592.0,1315.0,6073.0,8869.0,5806.0,8583.0,8808.0,52285.0
106038,8583.0,82366.0,4982.0,136337.0,133123.0,126482.0,104312.0,5806.0
106518,5413.0,82366.0,5979.0,5160.0,61373.0,3242.0,44243.0,115414.0
106850,4943.0,7821.0,6923.0,60137.0,26791.0,5953.0,26985.0,45412.0
106872,8140.0,77810.0,26791.0,5806.0,6073.0,1315.0,130474.0,68612.0
106883,1156.0,5806.0,77810.0,5687.0,1768.0,787.0,26644.0,1156.0
106993,5806.0,128592.0,91104.0,50189.0,115414.0,110773.0,73106.0,116191.0
107522,3216.0,54734.0,4982.0,121190.0,8808.0,5979.0,8869.0,61373.0
107695,68612.0,6073.0,787.0,1315.0,77810.0,8987.0,141668.0,6096.0
107868,4943.0,31553.0,96691.0,66639.0,80363.0,104312.0,1681.0,74075.0
108013,5806.0,1315.0,6073.0,8583.0,130474.0,107949.0,1156.0,101942.0
108188,5806.0,1156.0,8140.0,77810.0,26644.0,1768.0,5687.0,8583.0
108211,117368.0,5806.0,787.0,5687.0,3242.0,26791.0,8140.0,1768.0
108271,1156.0,54734.0,91104.0,8869.0,77414.0,8911.0,133867.0,72407.0
108419,5806.0,50189.0,52285.0,117368.0,73106.0,128592.0,91104.0,72407.0
108516,117368.0,104312.0,141668.0,109425.0,52285.0,91104.0,136337.0,4982.0
108657,77810.0,8911.0,3216.0,82366.0,8867.0,89194.0,128592.0,77414.0
108838,77810.0,5806.0,6073.0,1315.0,129781.0,8867.0,26791.0,52285.0
108987,77810.0,6073.0,5891.0,8867.0,3216.0,1315.0,8140.0,82366.0
109086,77810.0,3216.0,1156.0,5806.0,27564.0,1315.0,8867.0,5473.0
109135,96691.0,61373.0,5687.0,5806.0,1768.0,1156.0,3216.0,82366.0
109289,77810.0,787.0,5806.0,1156.0,5687.0,1315.0,5614.0,116839.0
109335,8004.0,5746.0,61373.0,3630.0,3216.0,5979.0,4982.0,3472.0
109384,77810.0,8867.0,27564.0,3216.0,82366.0,6091.0,107447.0,33585.0
109441,77810.0,5806.0,8867.0,1156.0,1315.0,787.0,5473.0,27564.0
109655,50189.0,39421.0,133867.0,128592.0,3691.0,59429.0,3804.0,100507.0
109763,5806.0,26644.0,1156.0,5687.0,38656.0,1315.0,787.0,68612.0
110038,1156.0,5806.0,787.0,8140.0,3216.0,60137.0,95604.0,82934.0
110039,26791.0,1315.0,3216.0,787.0,141668.0,110828.0,1156.0,5687.0
110077,133123.0,141668.0,117368.0,3242.0,136337.0,110655.0,126921.0,787.0
110246,117368.0,77810.0,1315.0,6073.0,787.0,1156.0,8583.0,105126.0
110296,77810.0,3216.0,8867.0,3630.0,61373.0,27564.0,103685.0,38656.0
110343,50189.0,77810.0,8867.0,559.0,3216.0,27564.0,1315.0,140162.0
110386,5806.0,5687.0,77810.0,787.0,1315.0,8867.0,1156.0,8583.0
110525,5806.0,110773.0,74075.0,39421.0,54278.0,59014.0,73106.0,77665.0
110601,96691.0,3216.0,82366.0,5806.0,3630.0,103685.0,1156.0,38656.0
110988,77810.0,141668.0,8583.0,129781.0,110828.0,1315.0,3216.0,8867.0
111399,77810.0,1315.0,68612.0,6091.0,27564.0,6073.0,140162.0,101296.0
111527,82366.0,95932.0,96691.0,115414.0,44243.0,1681.0,80363.0,92938.0
111714,5806.0,82366.0,8867.0,77810.0,3493.0,5778.0,8196.0,61373.0
111737,77810.0,1315.0,8867.0,3216.0,6091.0,82366.0,7976.0,6073.0
111751,5806.0,117368.0,46062.0,43838.0,72407.0,91104.0,104312.0,121190.0
