,0,1,2,3,4,5,6,7
100200,6388.0,6388.0,6388.0,6388.0,3216.0,5806.0,8140.0,7821.0
100269,6388.0,3804.0,50189.0,50189.0,3804.0,3216.0,110773.0,128592.0
100521,6388.0,6388.0,6388.0,3216.0,47566.0,39421.0,3630.0,3493.0
100972,6388.0,8140.0,7821.0,1153.0,6072.0,3472.0,47566.0,7821.0
100998,6388.0,5806.0,50189.0,56511.0,3804.0,3216.0,6036.0,133867.0
101049,117368.0,87876.0,52285.0,3216.0,1315.0,5806.0,109425.0,4402.0
101170,6388.0,3804.0,50189.0,56511.0,53280.0,128592.0,6388.0,3216.0
101263,50189.0,6037.0,3804.0,3216.0,3691.0,26317.0,2894.0,3626.0
101318,6037.0,3804.0,5346.0,5806.0,26317.0,3691.0,50189.0,5891.0
101579,3804.0,50189.0,3216.0,77810.0,6037.0,3691.0,26317.0,2894.0
101721,6388.0,3804.0,50189.0,5806.0,77810.0,3216.0,5473.0,26644.0
101743,6388.0,6388.0,6388.0,56511.0,7821.0,5806.0,82934.0,8140.0
101799,2894.0,3216.0,5891.0,4390.0,4872.0,5346.0,3626.0,3630.0
101818,6388.0,6388.0,6388.0,77810.0,4872.0,8140.0,7821.0,5806.0
101889,6388.0,6388.0,6388.0,77810.0,2894.0,4872.0,7976.0,5806.0
102206,3216.0,4872.0,5806.0,89480.0,3630.0,8588.0,1315.0,52929.0
102226,6388.0,3804.0,50189.0,6388.0,5806.0,26048.0,7821.0,8140.0
102355,6388.0,6388.0,3804.0,50189.0,5806.0,3691.0,3216.0,1862.0
102665,3804.0,50189.0,6037.0,6111.0,56511.0,74075.0,6388.0,59022.0
103266,6388.0,6388.0,6388.0,50189.0,26317.0,77810.0,4872.0,7976.0
103561,6388.0,3804.0,50189.0,133867.0,89194.0,5160.0,54734.0,65193.0
103573,50189.0,133867.0,3804.0,3691.0,89194.0,73106.0,54734.0,3216.0
103636,6388.0,56511.0,32174.0,5806.0,1153.0,1768.0,58876.0,49359.0
104273,6388.0,3216.0,77810.0,5346.0,5806.0,2894.0,7976.0,56511.0
105111,6388.0,3804.0,50189.0,95932.0,95004.0,72407.0,91104.0,78772.0
105148,6388.0,8140.0,4872.0,5346.0,6111.0,6037.0,8588.0,128592.0
105370,6388.0,3804.0,50189.0,95004.0,95932.0,110773.0,74075.0,50189.0
105520,6388.0,6388.0,6388.0,3216.0,5806.0,8140.0,8608.0,6072.0
105938,110828.0,8583.0,5806.0,1768.0,3216.0,8004.0,91104.0,6388.0
106038,6388.0,5806.0,5687.0,91808.0,5614.0,2933.0,81665.0,1156.0
106518,6388.0,3804.0,50189.0,3472.0,6388.0,8004.0,4645.0,7881.0
106850,6388.0,6388.0,6388.0,3804.0,4872.0,6388.0,77810.0,559.0
106872,8004.0,71318.0,63458.0,126921.0,3216.0,95543.0,1153.0,7239.0
106883,6388.0,6388.0,6388.0,52929.0,5806.0,8608.0,4872.0,56511.0
106993,6388.0,6388.0,3216.0,6388.0,5413.0,56511.0,5806.0,5746.0
107522,6388.0,3804.0,50189.0,3804.0,50189.0,6388.0,73106.0,39421.0
107695,6388.0,6388.0,3804.0,50189.0,3216.0,6037.0,3691.0,6111.0
107868,6388.0,6388.0,3216.0,3804.0,5806.0,50189.0,77810.0,6037.0
108013,6388.0,3804.0,50189.0,56511.0,5806.0,77414.0,6388.0,128592.0
108188,6388.0,3216.0,56511.0,7821.0,82934.0,77810.0,2894.0,5346.0
108211,117368.0,136337.0,126921.0,74075.0,109425.0,3216.0,52285.0,4388.0
108271,6388.0,3804.0,50189.0,128592.0,39421.0,4402.0,7244.0,53280.0
108419,53280.0,134246.0,5806.0,52285.0,73106.0,3216.0,47566.0,1315.0
108516,56511.0,133867.0,8004.0,3216.0,6388.0,26285.0,47566.0,77414.0
108657,3216.0,77810.0,6388.0,4872.0,56511.0,27564.0,89480.0,2894.0
108838,5806.0,3216.0,5687.0,5413.0,1768.0,2933.0,117368.0,2673.0
108987,6388.0,3804.0,50189.0,6388.0,7976.0,2894.0,5891.0,1312.0
109086,6388.0,6388.0,6388.0,3216.0,77810.0,4872.0,27564.0,89480.0
109135,6388.0,6388.0,6388.0,8140.0,161954.0,7821.0,157338.0,60137.0
109289,6388.0,3804.0,3216.0,3216.0,72407.0,110809.0,91104.0,43906.0
109335,6388.0,6388.0,6388.0,3804.0,50189.0,6388.0,26317.0,3691.0
109384,6388.0,6388.0,6388.0,77810.0,6388.0,4872.0,56511.0,27564.0
109441,6388.0,6388.0,6388.0,5806.0,7821.0,1768.0,26048.0,8140.0
109655,8531.0,6550.0,4974.0,6888.0,4402.0,3216.0,74075.0,39421.0
109763,6388.0,5806.0,8140.0,95932.0,122902.0,26764.0,95004.0,2643.0
110038,6388.0,6388.0,6388.0,7821.0,6072.0,82934.0,1153.0,81641.0
110039,95004.0,128592.0,5806.0,133867.0,50189.0,117368.0,87876.0,77810.0
110077,3216.0,5806.0,4402.0,1768.0,3630.0,49359.0,61037.0,26644.0
110246,6388.0,6388.0,7821.0,3775.0,40339.0,126921.0,136337.0,1153.0
110296,6388.0,6388.0,6388.0,6388.0,4872.0,7976.0,77810.0,2894.0
110343,3216.0,3804.0,50189.0,73106.0,3691.0,5346.0,39421.0,6037.0
110386,6388.0,4872.0,8140.0,95004.0,95932.0,110773.0,3166.0,26764.0
110525,6388.0,6388.0,6388.0,5806.0,7821.0,26644.0,1768.0,8140.0
110601,6388.0,3804.0,50189.0,3804.0,50189.0,133867.0,5346.0,73106.0
110988,6037.0,77810.0,5346.0,8588.0,7168.0,559.0,5806.0,140162.0
111399,3216.0,5806.0,7024.0,26241.0,3493.0,3630.0,77810.0,101296.0
111527,6388.0,5806.0,3216.0,1768.0,56511.0,2933.0,2673.0,8140.0
111714,6388.0,6388.0,6388.0,6388.0,50189.0,2894.0,77810.0,3804.0
111737,6388.0,8140.0,4872.0,3216.0,43838.0,6208.0,115414.0,4943.0
111751,6388.0,3804.0,4872.0,95004.0,110773.0,3216.0,95932.0,39421.0
111869,6388.0,6388.0,3804.0,50189.0,6208.0,5346.0,26317.0,44243.0
112139,6388.0,6388.0,6388.0,7821.0,95604.0,31702.0,26048.0,42681.0
112394,6388.0,8140.0,95932.0,50189.0,128592.0,3804.0,3216.0,53280.0
112406,6388.0,8140.0,3804.0,115414.0,74075.0,6388.0,50189.0,3804.0
112600,6388.0,6388.0,3804.0,50189.0,5346.0,77810.0,7976.0,2894.0
112947,3216.0,4872.0,2894.0,3630.0,77810.0,5891.0,3626.0,7976.0
112971,6388.0,6388.0,6388.0,77810.0,3804.0,5806.0,3216.0,6037.0
113031,6388.0,47566.0,50189.0,5806.0,4872.0,6036.0,7976.0,56511.0
113138,6388.0,5806.0,4872.0,50189.0,3804.0,3691.0,39421.0,133867.0
113394,6208.0,1862.0,6388.0,56511.0,3216.0,109425.0,129781.0,126921.0
113401,6388.0,3804.0,5806.0,50189.0,3216.0,56511.0,6037.0,8140.0
113591,50189.0,3804.0,6208.0,95932.0,6388.0,95004.0,92938.0,8666.0
113673,6388.0,8140.0,5806.0,5806.0,3216.0,87876.0,128592.0,78772.0
113679,6388.0,8140.0,7821.0,3216.0,1768.0,5806.0,49359.0,110828.0
113769,6388.0,133867.0,4982.0,8004.0,4942.0,128592.0,6208.0,2665.0
113922,6388.0,6388.0,6388.0,77810.0,4872.0,2894.0,6388.0,3804.0
114412,6388.0,6388.0,50189.0,3804.0,6036.0,3691.0,73106.0,117368.0
114454,6388.0,95932.0,50189.0,6388.0,7821.0,133867.0,77833.0,26246.0
114756,6388.0,8140.0,4872.0,6388.0,3216.0,7821.0,82934.0,3804.0
114855,6388.0,8140.0,3804.0,5806.0,50189.0,59022.0,3216.0,50641.0
114934,6388.0,3804.0,50189.0,6388.0,7821.0,8583.0,95604.0,8140.0
114952,3216.0,52285.0,56511.0,8588.0,1315.0,5346.0,87876.0,54278.0
115003,6388.0,6388.0,6388.0,133867.0,4942.0,8004.0,95932.0,3804.0
115169,6388.0,3804.0,50189.0,133867.0,50189.0,110773.0,3216.0,3804.0
115551,5346.0,5806.0,117368.0,126921.0,1315.0,69438.0,110828.0,109425.0
115930,6037.0,5346.0,8588.0,3216.0,77810.0,26317.0,3804.0,74696.0
116072,6388.0,8140.0,77833.0,56511.0,82934.0,7821.0,2669.0,58876.0
116123,133867.0,6388.0,3216.0,56511.0,128592.0,3630.0,43906.0,5806.0
116352,6388.0,3804.0,50189.0,6388.0,8140.0,95604.0,8004.0,5806.0
116453,6388.0,3804.0,50189.0,133867.0,39421.0,128592.0,115414.0,95932.0
116502,3216.0,5806.0,49359.0,1768.0,50619.0,102070.0,61037.0,5687.0
116669,6388.0,6388.0,5806.0,6388.0,3804.0,50189.0,3216.0,7821.0
116680,6388.0,6388.0,6388.0,5806.0,2933.0,5614.0,26644.0,2673.0
117071,6388.0,6388.0,6388.0,6388.0,4872.0,77810.0,5806.0,5473.0
117154,6388.0,6388.0,6388.0,5806.0,6388.0,3216.0,49359.0,1768.0
117439,5806.0,3804.0,50189.0,3493.0,5778.0,3216.0,4752.0,5717.0
117986,50189.0,3804.0,77810.0,4872.0,5346.0,6037.0,27564.0,140162.0
118007,6388.0,95932.0,6208.0,6388.0,82934.0,7821.0,2669.0,8140.0
118032,6388.0,50189.0,3804.0,95004.0,87876.0,6388.0,32174.0,104736.0
118062,5806.0,3216.0,1153.0,4872.0,1315.0,5614.0,101281.0,6072.0
118144,6388.0,3216.0,56511.0,77414.0,5806.0,77810.0,8867.0,140162.0
118322,26791.0,43838.0,5717.0,110773.0,60806.0,90522.0,3216.0,631.0
118350,3216.0,5806.0,133867.0,87876.0,6388.0,52285.0,49359.0,109425.0
118409,6388.0,3804.0,50189.0,6388.0,8140.0,26048.0,1153.0,7821.0
118415,5346.0,6037.0,3630.0,3626.0,2894.0,5891.0,8588.0,77810.0
118509,3216.0,1862.0,128592.0,6208.0,8608.0,5746.0,5806.0,38320.0
118524,6388.0,6388.0,6388.0,50189.0,3804.0,5346.0,26317.0,3691.0
118726,6388.0,3804.0,8140.0,5806.0,3216.0,5687.0,1768.0,26644.0
118774,3216.0,5806.0,3804.0,77810.0,3630.0,27564.0,3472.0,8583.0
118829,6388.0,3804.0,50189.0,50189.0,128592.0,3804.0,73106.0,96448.0
119149,3216.0,5413.0,3630.0,1153.0,95004.0,6072.0,5717.0,8608.0
119213,6388.0,3804.0,50189.0,6388.0,8140.0,7821.0,82934.0,77833.0
119300,6388.0,3216.0,56511.0,8140.0,110828.0,77833.0,58876.0,101207.0
119327,5806.0,47566.0,52285.0,6037.0,80617.0,49359.0,2673.0,3630.0
119330,6388.0,3216.0,56511.0,5346.0,1153.0,8588.0,77833.0,5806.0
119422,6388.0,3804.0,50189.0,6388.0,8140.0,26048.0,7821.0,3854.0
119489,4872.0,3216.0,140162.0,5806.0,3626.0,89480.0,27564.0,2894.0
119756,6388.0,8140.0,5806.0,95932.0,6208.0,3216.0,4943.0,128592.0
119863,6388.0,6388.0,6388.0,77810.0,3216.0,1315.0,5806.0,4872.0
119904,6388.0,8140.0,5806.0,78772.0,72407.0,91104.0,128592.0,110809.0
120005,4872.0,2894.0,3626.0,77810.0,3630.0,3216.0,89480.0,7976.0
120007,6388.0,6388.0,6388.0,77810.0,3216.0,4872.0,2894.0,7821.0
120056,3630.0,3493.0,5806.0,3216.0,5891.0,5413.0,1153.0,4752.0
120174,6388.0,3804.0,50189.0,3804.0,50189.0,128592.0,39421.0,133867.0
120360,49359.0,6388.0,5806.0,77810.0,1768.0,65660.0,1315.0,6037.0
120567,6388.0,3804.0,50189.0,6208.0,74075.0,39421.0,50189.0,110773.0
121108,6388.0,7821.0,5806.0,4872.0,82934.0,56511.0,2894.0,1315.0
121220,6388.0,3804.0,50189.0,6388.0,8140.0,7821.0,56511.0,2669.0
121243,6388.0,3804.0,50189.0,5746.0,110773.0,74075.0,43838.0,6208.0
121299,5806.0,128592.0,56511.0,3216.0,4402.0,87876.0,110828.0,49359.0
121300,133867.0,8004.0,89194.0,3216.0,39421.0,59022.0,6036.0,102070.0
121366,3216.0,5806.0,77665.0,115414.0,116191.0,133867.0,5413.0,74696.0
121401,6388.0,6388.0,3216.0,50189.0,5346.0,6037.0,26317.0,117368.0
121428,6388.0,8140.0,5806.0,5806.0,110773.0,3216.0,77665.0,7573.0
121459,6388.0,6388.0,6388.0,128592.0,50189.0,133867.0,39421.0,3804.0
121660,6388.0,8140.0,7821.0,95932.0,1862.0,3216.0,1599.0,122902.0
122003,6388.0,3804.0,50189.0,77665.0,44243.0,53280.0,110773.0,6208.0
122005,6388.0,6388.0,3216.0,49359.0,38320.0,47566.0,126921.0,50619.0
122064,6388.0,3804.0,50189.0,95004.0,95932.0,115414.0,104144.0,5542.0
122116,3216.0,2894.0,133867.0,4872.0,77810.0,3626.0,4847.0,7976.0
122329,115414.0,56511.0,128592.0,6388.0,7244.0,1862.0,52285.0,7402.0
122472,3216.0,6037.0,3630.0,5346.0,6388.0,5806.0,5413.0,5891.0
122683,6388.0,6388.0,8004.0,5746.0,3216.0,7239.0,6500.0,92192.0
122746,6388.0,6388.0,6388.0,7821.0,8140.0,5806.0,82934.0,130474.0
122887,56511.0,6388.0,3216.0,7821.0,82934.0,104312.0,8583.0,110809.0
122944,5346.0,4872.0,77810.0,6037.0,2894.0,50189.0,27564.0,3804.0
123027,133867.0,8583.0,89194.0,65193.0,77414.0,54734.0,52285.0,84374.0
123086,6388.0,6388.0,5346.0,133867.0,8588.0,2894.0,6037.0,3216.0
123148,50189.0,3804.0,3216.0,5346.0,2894.0,6037.0,3691.0,559.0
123181,6388.0,116191.0,5806.0,3216.0,5687.0,4402.0,7821.0,49359.0
123335,6388.0,6388.0,6388.0,6388.0,3216.0,5806.0,56511.0,8004.0
123376,6388.0,3804.0,50189.0,6388.0,7821.0,56511.0,82934.0,77833.0
123380,6388.0,3804.0,50189.0,6388.0,8140.0,77833.0,2933.0,26048.0
123384,6388.0,4872.0,8140.0,3216.0,5806.0,49359.0,1153.0,6072.0
123493,6388.0,50189.0,3804.0,95004.0,8004.0,7821.0,56511.0,6388.0
123593,6388.0,50189.0,3804.0,6388.0,77810.0,4872.0,5806.0,3216.0
123637,6388.0,6388.0,6388.0,6037.0,3804.0,8588.0,3216.0,3331.0
123708,4872.0,77810.0,89480.0,27564.0,3626.0,140162.0,1312.0,5806.0
123744,6388.0,3804.0,50189.0,6037.0,77810.0,5346.0,3691.0,73106.0
124322,6388.0,6388.0,6388.0,2894.0,77810.0,7168.0,6037.0,8588.0
124359,6388.0,6388.0,6388.0,8140.0,6037.0,2894.0,5806.0,5346.0
124507,6388.0,3804.0,50189.0,5806.0,6388.0,1768.0,49359.0,2894.0
